기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각,최신결과상태,최신결과단계,최신결과사유,최신개선판정,최신자식Claim번호,최신공식조회여부,최신공식통계표,최신공식좌표,최신공식값,최신계산값,최신판정,최신공표확인,최신공식값출처,최신결과출처,최신실행번호,최신기록시각,반영된결과수,남은작업,현재문제묶음,세부문제유형,세부문제설명,해결방법,처리우선순위,대표실행묶음
A00006,1,A00006_1,A00006_1,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,24,6,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_145011_A006,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00006_1,아니오,DT_145011_A006,ORG=145|TBL=DT_145011_A006|ITM=T002|OBJ=13999000|MEMBER=데이터|PRD_SE=Y|PRD_DE=2024,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:31:06.875807+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_RECORD_HISTORY,역대 최고·최저 비교에 필요한 전체 기간 값 범위를 만들지 못함,공식 제공 시작일부터 기사 기간까지 같은 주기의 전체 이력을 조회해 비교,17,CALCULATION_RECORD_HISTORY-001
A00018,1,A00018_1,A00018_1,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,35,14,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_145011_A006,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00018_1,아니오,DT_145011_A006,ORG=145|TBL=DT_145011_A006|ITM=T002|OBJ=13999000|MEMBER=데이터|PRD_SE=Y|PRD_DE=2023,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:31:50.854963+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_CHANGE_RATE,증감률 계산에 필요한 현재값과 기준값을 확정하지 못함,현재·비교 기간의 공식값 두 개를 확정하고 파이썬 증감률 계산을 실행,9,CALCULATION_CHANGE_RATE-001
A00070,11,A00070_11,A00070_11,"대중 수출은 지난 2010년(1168억3800만달러)부터 1000억달러선을 넘어섰고, 2021년에는 1629억1300만달러까지 늘어났지만 이후 감소세가 눈에 띄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,50,15,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_145011_A006,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00070_11,아니오,DT_145011_A006,ORG=145|TBL=DT_145011_A006|ITM=T002|OBJ=13999000|MEMBER=데이터|PRD_SE=Y|PRD_DE=2010,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:33:17.206370+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_DIFFERENCE,증가·감소량 계산에 필요한 두 공식값을 확정하지 못함,현재값과 기준값을 같은 단위로 조회해 파이썬 차이 계산을 실행,19,CALCULATION_DIFFERENCE-001
A00182,4,A00182_4,A00182_4,이 기간 휴일을 뺀 조업(操業) 일수는 지난해와 같아 이를 고려한 일평균 수출액 역시 3.8% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,35,16,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_2KAA806,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00182_4,아니오,DT_2KAA806,ORG=101|TBL=DT_2KAA806|ITM=T10|OBJ=A|MEMBER=대한민국|PRD_SE=Y|PRD_DE=2024,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:34:36.959041+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_CHANGE_RATE,증감률 계산에 필요한 현재값과 기준값을 확정하지 못함,현재·비교 기간의 공식값 두 개를 확정하고 파이썬 증감률 계산을 실행,9,CALCULATION_CHANGE_RATE-001
A00202,18,A00202_18,A00202_18,반면 상용직(1년 이상)은 지난달 취업자 수가 1만2000명 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_1DA7001S,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00202_18,아니오,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2024-12,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T22:48:29.983520+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_DIFFERENCE,증가·감소량 계산에 필요한 두 공식값을 확정하지 못함,현재값과 기준값을 같은 단위로 조회해 파이썬 차이 계산을 실행,19,CALCULATION_DIFFERENCE-001
A00273,1,A00273_1,A00273_1,지난해 우리나라 화장품 수출액이 사상 최대인 102억달러를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,53,15,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_145011_A006,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00273_1,아니오,DT_145011_A006,ORG=145|TBL=DT_145011_A006|ITM=T002|OBJ=13999000|MEMBER=데이터|PRD_SE=Y|PRD_DE=2024,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:36:00.049864+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_RECORD_HISTORY,역대 최고·최저 비교에 필요한 전체 기간 값 범위를 만들지 못함,공식 제공 시작일부터 기사 기간까지 같은 주기의 전체 이력을 조회해 비교,17,CALCULATION_RECORD_HISTORY-001
A00279,5,A00279_5,A00279_5,작년 1월부터 11월까지 출생아 수 22만94명으로 전년에 비해 3% 늘어났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,33,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_1B8000G,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00279_5,아니오,DT_1B8000G,"ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=월|PRD_DE=2024-01|DIMS=B:전국,A:출생아수(명)",,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:07:10.010053+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_CHANGE_RATE,증감률 계산에 필요한 현재값과 기준값을 확정하지 못함,현재·비교 기간의 공식값 두 개를 확정하고 파이썬 증감률 계산을 실행,9,CALCULATION_CHANGE_RATE-001
A00279,6,A00279_6,A00279_6,출생아 수는 2015년 0.7% 증가했다가 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,11,4,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_1B8000G,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00279_6,아니오,DT_1B8000G,"ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=년|PRD_DE=2015|DIMS=B:전국,A:출생아수(명)",,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:07:02.873022+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_CHANGE_RATE,증감률 계산에 필요한 현재값과 기준값을 확정하지 못함,현재·비교 기간의 공식값 두 개를 확정하고 파이썬 증감률 계산을 실행,9,CALCULATION_CHANGE_RATE-001
A00292,5,A00292_5,A00292_5,연간 출생아 수는 2015년 0.7% 증가한 것을 마지막으로 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,30,8,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_1B8000G,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00292_5,아니오,DT_1B8000G,"ORG=101|TBL=DT_1B8000G|ITM=T1|OBJ=B|MEMBER=전국|PRD_SE=년|PRD_DE=2015|DIMS=B:전국,A:출생아수(명)",,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:07:42.427199+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_CHANGE_RATE,증감률 계산에 필요한 현재값과 기준값을 확정하지 못함,현재·비교 기간의 공식값 두 개를 확정하고 파이썬 증감률 계산을 실행,9,CALCULATION_CHANGE_RATE-001
A00312,9,A00312_9,A00312_9,"◇중간재 수출, MAGA의 핵심 최근 5년간 한국의 대미 수출 통계를 보면 중간재 수출은 55.4%(2020년)→57.8% →60.4%→50.1%→ 51.2%(2024년)로 늘 과반을 차지했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,54,13,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,,,,DT_1R11006_FRM101,,1,,,,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,UNCHANGED,A00312_9,아니오,DT_1R11006_FRM101,ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2020,,,UNDETERMINED,,,clafact_final_completion_202608\full_registry_latest_live_20260823\claim_verification_results.jsonl,full_registry_latest_live_20260823,2026-08-22T23:36:20.233065+00:00,1,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,CALCULATION_CHANGE_RATE,증감률 계산에 필요한 현재값과 기준값을 확정하지 못함,현재·비교 기간의 공식값 두 개를 확정하고 파이썬 증감률 계산을 실행,9,CALCULATION_CHANGE_RATE-001
