parent_claim_id,article_id,article_published_at,article_text,expected_verdicts,derived_claim_count,child_claim_ids,actual_status,actual_verdicts,failure_reason,official_evidence_verified,table_ids,coordinates,official_values,calculated_values,source_urls,response_hashes,acceptance_status,run_id,recorded_at,failure_stage
A02111_6,A02111,2025-06-12,4월만 해도 690만6000명이었던 60세 이상 취업자는 지난달 704만9000명으로 처음으로 700만명을 넘었다.,MATCH,1,claim_0b480e92fd76dad9,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,예,DT_1DA7002S,ORG=101|TBL=DT_1DA7002S|ITM=T30|OBJ=G|MEMBER=60세이상|PRD_SE=월|PRD_DE=2025-05,,,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T30&prdSe=M&startPrdDe=202505&endPrdDe=202505&objL1=60,cdff139d96b0b1821519f932d400069fbb55ab124036dd2297c46f0dd015bbc9,실패,dashboard-acceptance-25-live-20260824,2026-08-24T07:56:08.966225+00:00,PUBLICATION
A02558_5,A02558,2025-07-16,"16일 통계청이 발표한 ‘2025년 6월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2909만1000명으로 전년 동월 대비 18만3000명 늘었다.",MATCH,2,claim_4367783c466407fc|claim_76398d6217872c98,HOLD,MATCH,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,아니오,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-06,29090.6,29090600.0,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202506&endPrdDe=202506&objL1=0,4af335248121e570991dced3562bc9a84f89371447e37e5d5151f4fa23042335,실패,dashboard-acceptance-25-live-20260824,2026-08-24T07:57:27.219512+00:00,CLAIM_PARSE
A02633_4,A02633,2025-10-17,17일 국가데이터처가 발표한 ‘9월 고용동향’에 따르면 지난달 15세 이상 취업자는 2915만4000명으로 전년 동월 대비 31만2000명 증가했다.,MATCH,1,claim_57a534979d0230db,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,예,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-09,,,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202509&endPrdDe=202509&objL1=0,1ceb4e43788b02b212d8c82ea12e658ffb2b3f358d5b500b2d527ebc18ce35af,실패,dashboard-acceptance-25-live-20260824,2026-08-24T07:58:02.783311+00:00,PUBLICATION
A00103_6,A00103,2025-01-08,"특히 라면(70.3%), 냉동김밥을 포함한 쌀 가공식품(51%) 등의 대미 수출이 크게 늘었다.",MATCH,2,claim_742e2471c3ddbc29|claim_deb1d559719c7ac2,HOLD,,"51% 증가율은 제시되지만 기준 기간과 비교 유형(전년 동기, 전월, 전분기 등)이 명시되지 않아 완전한 성장률 주장으로 확정할 수 없음|수출 증가율 70.3%는 확인되지만 기준 기간과 증가율 유형(YEAR_OVER_YEAR, MONTH_OVER_MONTH, QUARTER_OVER_QUARTER)이 target_sentence 및 보강 문맥에 명시되지 않음",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T07:58:25.579722+00:00,CLAIM_PARSE
A00202_17,A00202,2025-01-16,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.",MISMATCH,2,claim_12f67602f1c3ce0a|claim_476bd72183211a12,HOLD,,CLAIM_SPLIT_UNAVAILABLE|감소한 대상 지표와 기준 시점이 제시되지 않아 독립적으로 검증 가능한 완전한 수치 주장으로 확정할 수 없음,아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T07:58:39.888078+00:00,CLAIM_SPLIT
A00202_20,A00202,2025-01-16,인구 대비 취업자 수 비율을 뜻하는 고용률은 지난달 61.4%로 1년 전(61.7%)에 비해 0.3%포인트 떨어졌다.,MISMATCH,1,claim_cc45f161cb09e889,HOLD,UNDETERMINED,AMBIGUOUS_MARGIN,아니오,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T90|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2024-12,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T07:58:53.782497+00:00,HARD_GUARD
A00579_13,A00579,2025-02-14,"지난달 15~29세 청년층 취업자 수는 전년 동월 대비 21만8000명 줄었는데, 고용률 기준으로도 44.8%에 그치며 전년 동월 대비 1.5%포인트 감소했다.",MISMATCH,2,claim_bc61328c31128cd7|claim_e802e6d8cfca95d3,HOLD,,"감소한 절대 차이만 제시되었고 DIFFERENCE 계산에 필요한 현재값과 비교 기준값이 원문에 없어 검증 가능한 차이 슬롯을 완전히 채울 수 없음|중심 수치와 전년 동월 대비 증감이 함께 있으나 기준 연월과 지역·대상 인구가 명시되지 않았고, 고용률의 퍼센트포인트 변화는 일반적인 성장률 산식과 다르므로 확인이 필요함",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:00:07.101942+00:00,CLAIM_PARSE
A00621_5,A00621,2025-02-17,하지만 ‘양질의 일자리’로 꼽히는 제조업 분야 취업자 수는 5만6000명 줄어든 439만6000명으로 집계됐다.,MISMATCH,1,claim_7b292cef4a1d724a,HOLD,,목표 수치는 명확하지만 문장에 기준 시점과 지역이 stated되지 않음,아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:00:23.973133+00:00,CLAIM_PARSE
A00922_9,A00922,2025-03-12,청년 취업자는 355만7000명으로 1년 새 23만5000명 줄었다.,MATCH,1,claim_a53a99ef7f4c9e8e,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,예,DT_1DA7001S,ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-03,,,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202503&endPrdDe=202503&objL1=0,ba95b3860024c3ea552e621c4d0c3ec24a1ef96fd16434bca699a0d60ba0c0af,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:00:46.481258+00:00,PUBLICATION
A01285_13,A01285,2025-04-09,"건설업 부진 장기화로 40대와 50대 취업자 수도 각각 4만9000명, 2만6000명 줄었다.",MATCH,2,claim_81537026a7798671|claim_879a3f94b727afba,HOLD,,"감소한 대상 지표와 기준 시점이 제시되지 않아 독립적으로 검증 가능한 수치 주장으로 확정할 수 없음|문장이 미완성되어 4만9000명이 취업자 수의 수준인지 증감 규모인지, 기준 시점과 비교 대상이 불명확하며 40대와 50대라는 두 대상이 함께 제시됨",아니오,,,,,,,실패,dashboard-acceptance-25-live-20260824,2026-08-24T08:01:06.773576+00:00,CLAIM_PARSE
