Claim번호,기사번호,문장번호,기사일,원문,원래시점,복구시점,개선전상태,개선후상태,복구판정,복구사유
A01176_4,A01176,4,2025-04-01,"상당수가 사과를 키우는 과수원으로, 경북 지역은 전국 사과 생산량의 62%를 차지하는 사과 주산지다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01176_6,A01176,6,2025-04-01,전국 마늘 생산의 38%를 담당하는 의성군 농가들도 비상이 걸렸다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01191_5,A01191,5,2025-04-02,"이번 영남권 산불로 산림 4만8000ha가 불에 탔고, 농가 피해는 경북 지역의 5개 시·군(의성·안동·청송·영양·영덕)에서 주로 발생했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01191_6,A01191,6,2025-04-02,"경북도에 따르면, 이날 오전 8시 30분 기준 경북에서 과수원 3645ha를 포함해 총 3785ha의 농작물 피해가 발생했다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A01202_11,A01202,11,2025-04-03,"농림축산식품부에 따르면, 이번 산불로 국내 사과 재배 면적의 9%인 3000㏊에서 피해 신고가 들어왔다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02633_26,A02633,26,2025-10-17,농림어업도 14만6100명 줄었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02696_14,A02696,14,2025-11-07,농가는 1인당 3만6000원에 도시 농부를 불러 쓸 수 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02696_28,A02696,28,2025-11-07,충북도 농가 6만7000곳 중 2만1300곳(31%)이 도시 농부를 활용했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00049_8,A00049,8,2025-01-04,국토교통부는 우리 기업의 해외 건설 누적 수주액이 1조달러(약 1470조원)를 돌파했다고 3일 밝혔다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00298_17,A00298,17,2025-01-23,반면 내수 중 건설투자는 건물건설과 토목건설이 모두 줄며 전분기 대비 3.2% 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01480_11,A01480,11,2025-04-24,"의료·오락문화 부문 소비가 부진하면서 민간소비가 전 분기보다 0.1% 감소했고, 건설투자도 건물 건설을 중심으로 3.2% 줄었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01937_5,A01937,5,2025-05-29,◇절반 이상은 건설 부진 탓 한은은 이날 하향된 0.7%포인트 성장률 중 건설투자 부문이 차지하는 몫이 0.4%포인트라고 밝혔다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02343_13,A02343,13,2025-06-30,향후 건설 경기를 가늠할 수 있는 건설 수주 실적도 발전·통신 분야 토목 수주 감소로 1년 전 대비 5.5% 줄었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02349_23,A02349,23,2025-06-30,"전직 경제 부처 국장은 “35조원 규모의 두 차례 추가경정예산 편성으로 ‘급한 불’을 껐고, AI 생태계 조성과 북극 항로 개척 같은 장기 과제도 나와 있다”며 “새 경제팀은 내수와 건설 투자를 되살릴 3년 정도 시계의 중기 대책을 내놓아야 하는 상황”이라고 했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02702_1,A02702,1,2025-11-09,3 건설투자 위축과 수출 증가세 둔화에도 불구하고 소비를 중심으로 국내 경기가 다소 개선되는 모습을 보이고 있다는 분석이 나왔다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00129_3,A00129,3,2025-01-10,실업률은 4.1%를 기록했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00202_7,A00202,7,2025-01-16,"건설 경기 부진으로 건설업 취업자 수가 15만7000명 줄었고, 제조업과 도소매업 취업자 수 감소폭도 각각 10만명에 육박했다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A00368_25,A00368,25,2025-01-29,경제정책방향에 담긴 정책도 ‘청년 고용 올케어 플랫폼’ 기능을 확대하거나 ‘일경험 기회’를 1만명 늘리는 등 기존 정책을 답습·강화하는 차원에 그친다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00544_13,A00544,13,2025-02-11,취업자 수는 14만명 늘어난다고 봤다가 10만명만 증가하는 것으로 수정했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00628_16,A00628,16,2025-02-18,10년 전과 비교하면 전체 취업자가 10.3% 늘어나는 동안 임금 근로자는 16.3% 증가했고 자영업자는 5.9% 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00648_4,A00648,4,2025-02-19,주중에 회사를 다니고 주말에는 학원 강사를 한 경우 취업자는 1명이나 일자리는 2개로 집계된다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00675_7,A00675,7,2025-02-21,"반대로 고용률이 가장 낮은 곳은 부산의 대표적 구도심인 영도구(48.1%)로, 전국 시·군·구 중 유일하게 고용률 50%를 넘지 못했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01023_17,A01023,17,2025-03-20,1970년대식 스태그플레이션 가능성에 대한 질문에 “현재 우리는 실업률이 완전고용에 근접한 4.1%를 유지하는 동안에도 인플레이션이 높은 수준에서 2%에 가깝게 둔화하는 상황에 있다”며 “우리가 (1970년대의)그런 상황과 비교할 만한 상황에 직면했다고 보진 않는다”라고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01033_17,A01033,17,2025-03-21,1970년대식 스태그플레이션 가능성에 대한 질문에 “현재 우리는 실업률이 완전고용에 근접한 4.1%를 유지하는 동안에도 인플레이션이 2%에 가깝게 둔화하는 상황에 있다”며 “우리가 (1970년대의) 그런 상황에 직면했다고 보지 않는다”고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01193_8,A01193,8,2025-04-02,"둘을 합치면 17만9000명으로, 전체 취업자 증가 규모(15만9000명)를 뛰어넘은 것이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01285_3,A01285,3,2025-04-09,인구 감소 효과까지 겹쳐 청년 취업자는 4개월 연속으로 20만명 넘게 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01285_5,A01285,5,2025-04-09,60대와 30대를 중심으로 취업자가 늘며 올 들어 3개월 연속으로 취업자가 10만명 넘게 늘었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01285_8,A01285,8,2025-04-09,"제조업과 도소매업에서 취업자 수가 각각 11만2000명, 2만6000명 감소하는 등 청년층 취업자 비중이 높은 분야의 고용이 부진한 영향이 컸다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A01292_4,A01292,4,2025-04-10,청년 경제활동인구 대비 실업자 수를 뜻하는 청년 실업률은 7.5%에 달했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01292_7,A01292,7,2025-04-10,"청년 취업자 비율이 높은 제조업(-11만2000명)과 건설업(-18만5000명), 도·소매업(-2만6000명) 등에서 줄줄이 고용이 줄었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01359_2,A01359,2,2025-04-15,"20대 후반(25~29세) 청년으로 좁히면 취업자가 10만명 가까이 줄며, 12년 만에 최대 감소 폭을 보였다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01737_3,A01737,3,2025-05-14,"갓 대학을 졸업하고 사회에 진출하는 20대 후반 실업률은 7%대로 올라서며, 청년 취업난이 갈수록 심각해지고 있다는 분석이 나온다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01737_6,A01737,6,2025-05-14,국제 비교 기준인 15~64세 고용률은 69.9%로 4월 기준 역대 최대치를 보였다.,,2025년 4월,HOLD,HOLD,보류,MISSING_REQUIRED_SLOTS:condition
A01737_18,A01737,18,2025-05-14,도·소매업도 취업자가 3000명 줄었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01752_1,A01752,1,2025-05-15,"올 들어 취업자 수가 넉 달 연속 10만명 넘게 늘고 있지만, 20대 청년 일자리를 뒷받침해온 제조업 고용은 10개월 연속 줄고 있다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01752_3,A01752,3,2025-05-15,우리나라 취업자 수의 15% 이상을 차지하는 제조업 분야 고용 쇼크가 이어질 경우 내수 경기가 더 나빠질 가능성이 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01752_15,A01752,15,2025-05-15,제조업·건설업·도소매업 취업자 수는 전체 취업자 3명 중 1명꼴인 33.2%를 차지한다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01752_20,A01752,20,2025-05-15,청년층 인구에서 취업자 비율을 뜻하는 청년 고용률도 45.3%로 1년 전보다 0.9%포인트 하락했다.,,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
