claim_id,indicator,dimension,population,region,source_sentence,nearest_reject_count,nearest_reject_codes,nearest_table_ids,nearest_table_names
A01385_4,농가 수,"{""raw"": ""{\""산업\"": [\""농림어업\""]}""}",농가,,"17일 통계청이 발표한 ’2024년 농림어업 조사결과’에 따르면, 2024년 농가 수는 97만 4000가구로 전년(99만9000가구) 대비 2.5% 감소했다.",1,DIMENSION_MEMBER_CONFLICT|METADATA_INCOMPLETE,DT_1EA1038|DT_1EA1201|DT_1EA1501|DT_1EQ001|DT_1SA1201|DT_1SA1501|DT_114059_005|DT_1J60|DT_1J62|INH_1EA1045|DT_1EA1101|DT_1EA1611|DT_114061_006|DT_114061_011|DT_114061_012|DT_114061_041|DT_114061_043|DT_143002_E002|DT_1EA1511|DT_1TS202025|DT_1TS202026|DT_1TS202027|DT_446001_A036_1|DT_446001_B030_1|DT_114059_001|DT_1A02010|DT_1A02031,"과수 재배 작물별 농가|주요지표(농가경제)|농가소득|농지임대차부문-임차농가 비율|돼지 축사 내 가축분뇨 수거주기별 농가수|농가판매가격지수(2020=100,분기)|농가구입가격지수(2020=100,분기)|농가수(시도/시/군/구)|표본농가현황-일반현황|부채(농가경제)|사업운영형태 소분류(복수응답)-3차 식음료점|조직형태 대분류|조직형태 중분류-농가|무료 이용객 수(평균)|평균 농산물 계약재배량|소득분석표_노지채소|가계지출(농가경제)|농가·비농가별 평균시간|농가·비농가별 행위자비율|농가·비농가별 행위자평균시간|민간 쌀 공급처별 구입량|축종/시도별 연간 농가에서 고용하는 근로자 수|시도별 작물재배 귀농가구|시도별 가축사육 귀농가구"
A01285_22,고용률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,"청년층 고용률은 49개월 만에 최대 감소... 작년 박사 딴 10명 중 3명은 '백수', 역대 최고 작년 박사 학위 취득자 10명 중 3명은 일자리를 구하지 못한 것으로 나타났다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_11831_N001|INH_1DA7015S|DT_2AQ254|DT_1DA7300AS|DT_1DE9046S|DT_204013_2022_H001|DT_212008_2023A043|DT_212008_2023A044|DT_605006_C001|DT_637006_A036|DT_691006_2025D001|DT_704004_C002|DT_705003_2025C001|DT_722002_C001|DT_748002_A029|DT_750003_2024A038|DT_441001_112,"고령자 고용률현황|청년고용률(시도)|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|연령별 경제활동상태|경제활동인구 현황|성별·연령별 청년 경제활동|성별·시군별 청년 경제활동|청년 경제활동|성별·연령별 경제활동인구 현황|청년 경제활동인구|고용형태별 종사자 수"
A01359_1,취업자 수,"{""raw"": ""{\""연령\"": \""25~34세\""}""}",청년,,"0 올해 1분기(1~3월) 25~34세 청년층 취업자 수가 3만명 넘게 감소하며, 지난 2021년 1분기에 5만4000명 줄어든 이후 4년 만에 감소세로 전환했다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|METADATA_INCOMPLETE,DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA7010S|DT_1DA7011S|DT_1DA9001S|DT_1DA7012S|DT_1DA7024S|DT_1DA7028S|DT_1DA7004S|DT_1DA7030S|DT_1DA7032S|DT_1DA7035S|DT_1DA7050S|INH_1DA7030S|DT_2OEEM3003|DT_2OEEM3004|DT_2OEEM3005|DT_331001_2021AG001|DT_331001_2021AG002|DT_38304_2013_N004|DT_38304_2013_N012|DT_42301N_073|DT_43701N_032|DT_43701N_079|DT_MOGE_3000400129_2021_12|DT_XNN0039|INH_2OEEM2017|DT_1YL20541|DT_38304_2020_N030,"성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|종사상지위별 취업자|취업시간별 취업자|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|성/연령별 취업자|성/종사상지위별 취업자|행정구역(시도)별 경제활동인구|행정구역(시도)/성별 취업자|행정구역(시도)/교육정도별 취업자|행정구역(시도)/종사상지위별 취업자|행정구역(시도)/성/연령별 취업자|취업자수(시도)|연령별, 성별 고용 및 실업(구성)|연령별, 성별 고용 및 실업(지표)|연령별, 성별 고용 및 실업(수준)|만 18세 이후 6개월 이상 부모와의 분거 경험과 처음 분거한 연령|만 18세 이후 처음으로 부모와 분거한 이유|장애인 경제활동상태 - 장애유형별|장애인 추가취업 희망자 규모|취업정보 연령별 광고 종사자 현황|성별 고용률 비교|가구원 수|중앙행정기관 위원회별 여성참여 현황|근로자 10만명당 치명적 산업재해 수 - 동북·중앙아시아|고용률|취업자증감(시도)|장애인 경제활동상태 - 지역별(서울, 경기도, 광역시도, 기타 시도)"
A01359_5,취업자 수,"{""raw"": ""{\""연령\"": \""25~34세\""}""}",,,"25~34세 취업자는 코로나가 시작된 지난 2020년 2분기(-6만명)부터 2021년 1분기(-5만4000명)까지 줄다, 2021년 2분기(9만5000명)부터 작년 4분기(2000명)까지 늘었다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT,DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA7010S|DT_1DA7011S|DT_1DA9001S|DT_1DA7012S|DT_1DA7024S|DT_1DA7028S|DT_1DA7004S|DT_1DA7030S|DT_1DA7032S|DT_1DA7035S|DT_1DA7050S|INH_1DA7030S|DT_2OEEM3003|DT_2OEEM3004|DT_2OEEM3005|DT_1YL20541,"성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|종사상지위별 취업자|취업시간별 취업자|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|성/연령별 취업자|성/종사상지위별 취업자|행정구역(시도)별 경제활동인구|행정구역(시도)/성별 취업자|행정구역(시도)/교육정도별 취업자|행정구역(시도)/종사상지위별 취업자|행정구역(시도)/성/연령별 취업자|취업자수(시도)|연령별, 성별 고용 및 실업(구성)|연령별, 성별 고용 및 실업(지표)|연령별, 성별 고용 및 실업(수준)|취업자증감(시도)"
A01737_9,고용률,"{""raw"": ""{\""연령\"": \""15~29세\""}""}",청년,,반면 15~29세 청년층 고용률은 45.3%로 전년 동월 대비 0.9%포인트 감소했다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE|UNIT_CONFLICT,INH_1DA7015S|DT_1DA7002S|DT_1DA7012S|DT_2AQ254|DT_1DA7300AS|DT_1DA7024S|DT_1DE9046S|DT_2OEEM3004|DT_38304_2013_N002|DT_1DA7015S,"청년고용률(시도)|연령별 경제활동인구 총괄|성/연령별 경제활동인구|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|성/연령별 취업자|연령별 경제활동상태|연령별, 성별 고용 및 실업(지표)|장애인 경제활동상태 - 연령별|행정구역(시도)/연령별 경제활동인구"
A01737_13,실업률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,이에 따라 전체 청년층 실업률도 7.3%로 전년 동월 대비 0.5%포인트 올랐다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_2KAA348|DT_2OEEO018|DT_XNN0035|DT_XNS0035|DT_1YL20531E|DT_1DE9046S,청년(15~24세) 실업률|실업률|청년(15~24세) 실업률 - 동북·중앙아시아|청년(15~24세) 실업률 - 남부·동남아시아|청년실업률(시도)|연령별 경제활동상태
A01828_22,실업률,"{""raw"": ""{\""연령\"": \""22~27세\""}""}",,,뉴욕 연은에 따르면 22~27세 대학 졸업생의 실업률은 지난 1월 4.8%에서 3월 5.8%로 상승했다.,1,DIMENSION_MEMBER_CONFLICT,DT_1DA7102S|DT_1DA7103S|DT_1DA7104S|INH_1DA7104S|DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA9001S|DT_1DA7012S|DT_1DA7004S|DT_2IFS001|DT_2STES038|DT_2STES039|DT_2STES040,성/연령별 실업률|성/교육정도별 실업률|행정구역(시도)/성별 실업률|실업률(시도)|성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|행정구역(시도)별 경제활동인구|노동통계|연간주기 미만 등록된 실업자 및 공석 직책 > 등록된 실업자|연간주기 미만 등록된 실업자 및 공석 직책 > 신규 공석|연간주기 미만 등록된 실업자 및 공석 직책 > 채워지지 않은 공석
A02096_15,고용률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,하지만 사회 초년생인 청년층 고용률은 46.2%로 전년 동월 대비 0.7%포인트 감소했다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,INH_1DA7015S|DT_2AQ254|DT_1DA7300AS|DT_1DE9046S,"청년고용률(시도)|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|연령별 경제활동상태"
A02111_10,취업자 수,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,"60세 이상 취업자 수는 2017년 청년층을 추월한 데 이어 2021년엔 30대, 작년엔 40대, 올 3월부터는 50대까지 차례로 제치고 1위가 됐다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE|UNIT_CONFLICT,DT_1LC0004|DT_133001N_836|DT_133N_8321|DT_1DE9072|DT_1DE9072_11|DT_1LC0010|DT_1LC0013|DT_1SSFA195R|DT_1SSFA196R|DT_1YL20541,"종사상지위별 등록취업자 수_시도|8.3.6 법인세 청년고용증대 세액공제 신고 현황[2016~]|8.3.2 법인세 세액공제 신고 현황[2007~]|졸업/중퇴 취업자의 산업별 취업분포(10차, ~2024)|졸업/중퇴 취업자의 산업별 취업분포(11차)|신규 등록취업자의 산업별 일자리 현황|종전 등록취업자의 산업별 일자리 현황|저출생 대책(주된응답, 13세 이상 인구)|저출생 대책(복수응답, 13세 이상 인구)|취업자증감(시도)"
A02656_14,취업자 수,"{""raw"": ""{\""산업\"": [\""서비스업\""]}""}",,,상대적으로 부진했던 1월과 5월에도 전체 산업 취업자의 전년 대비 증가분 90%가량은 보건업 및 사회복지 서비스업이었다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE,DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA7010S|DT_1DA7011S|DT_38304_2013_N003|DT_38304_2013_N006|DT_1DA7012S|DT_1DA7024S|DT_1DA7028S|DT_1DA7029S|DT_2FB021F|DT_1DA7004S|DT_1DA7030S|DT_1DA7032S|DT_1DA7035S|DT_1DA7036S|DT_1DA7050S|INH_1DA7030S|DT_11827_A002|DT_118N_LCE0008|DT_118N_LCE309|DT_1C8016|DT_1DA7E06S_NEW|DT_1TS202022|DT_2019_152_1TM1051XC|DT_383003_C03013|DT_383003_C03015|DT_383003_C03044|DT_383003_C03058|DT_383003_C03063|DT_383003_C03068|DT_383003_C03077|DT_383005_G0022|DT_383005_G0023|DT_38304_2013_N004|DT_38304_2013_N012|DT_43701N_032|INH_2OEEM2017|DT_1DA7E33S_NEW|DT_1YL20541|DT_38304_2020_N030,"성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|종사상지위별 취업자|취업시간별 취업자|장애인 경제활동상태 - 장애정도별|장애인 경제활동상태 - 교육정도별|성/연령별 경제활동인구|성/연령별 취업자|성/종사상지위별 취업자|성/취업시간별 취업자|산업별 취업자(이민자, 11차)|행정구역(시도)별 경제활동인구|행정구역(시도)/성별 취업자|행정구역(시도)/교육정도별 취업자|행정구역(시도)/종사상지위별 취업자|행정구역(시도)/취업시간별 취업자|행정구역(시도)/성/연령별 취업자|취업자수(시도)|업종/고용허가제 구분별 사업장 수|고용형태별 사회보험가입률,상여금·퇴직(연)금 적용(가입)률,노조가입률|산업별 사회보험가입률,상여금·퇴직(연)금 적용(가입)률,노조가입률(표준산업분류 10차)|경기종합지수(2020=100) 구성지표 시계열 (10차)|산업별 취업자|성인 기혼여자의 취업여부별 평균시간|취업여부별 평균시간(15세이상) 상대표준오차|취업자의 지난주 취업시간|추가 취업 또는 전직 희망자의 추가 취업 또는 전직 가능 여부 및 구직 여부|무급가족종사자의 현 일자리 취업 과정|미취업자의 향후 취업 의사|취업 희망 미취업자의 구직활동 경험|장애인 고용 문제 해결을 위해 정부가 우선적으로 해야 할 정책(1순위)|취업을 위한 근로조건 수용 의향|당사자에게 필요한 장애 관련 서비스(1+2순위)|보호자 또는 가족에게 필요한 장애 관련 서비스(1+2순위)|장애인 경제활동상태 - 장애유형별|장애인 추가취업 희망자 규모|성별 고용률 비교|고용률|행정구역(시도)/산업별 취업자|취업자증감(시도)|장애인 경제활동상태 - 지역별(서울, 경기도, 광역시도, 기타 시도)"
