claim_id,indicator,dimension,population,region,source_sentence,nearest_reject_count,nearest_reject_codes,nearest_table_ids,nearest_table_names
A01176_3,과수원 면적,null,,경북 | 안동시 | 의성군 | 청송군 | 영양군,"지난달 31일 경상북도에 따르면, 이날 오전 8시 30분 기준으로 안동시와 의성군, 청송군, 영양군에 걸쳐 총 1490ha의 과수원이 산불 피해를 본 것으로 집계됐다.",1,FREQUENCY_CONFLICT,DT_1ZGA531|DT_1ET0012|DT_1ET0013|DT_1ET0014|DT_1ET0015|DT_1ET0017,"북한벼재배면적조사|노지 식량작물 재배면적|노지 채소 재배면적|노지 과수 재배면적|노지 특,약용작물 재배면적|시설작물 재배면적"
A01285_22,고용률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,"청년층 고용률은 49개월 만에 최대 감소... 작년 박사 딴 10명 중 3명은 '백수', 역대 최고 작년 박사 학위 취득자 10명 중 3명은 일자리를 구하지 못한 것으로 나타났다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_11831_N001|INH_1DA7015S|DT_2AQ254|DT_1DA7300AS|DT_1DE9046S|DT_204013_2022_H001|DT_212008_2023A043|DT_212008_2023A044|DT_605006_C001|DT_637006_A036|DT_691006_2025D001|DT_704004_C002|DT_705003_2025C001|DT_722002_C001|DT_748002_A029|DT_750003_2024A038|DT_441001_112,"고령자 고용률현황|청년고용률(시도)|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|연령별 경제활동상태|경제활동인구 현황|성별·연령별 청년 경제활동|성별·시군별 청년 경제활동|청년 경제활동|성별·연령별 경제활동인구 현황|청년 경제활동인구|고용형태별 종사자 수"
A01359_1,취업자 수,"{""raw"": ""{\""연령\"": \""25~34세\""}""}",청년,,"0 올해 1분기(1~3월) 25~34세 청년층 취업자 수가 3만명 넘게 감소하며, 지난 2021년 1분기에 5만4000명 줄어든 이후 4년 만에 감소세로 전환했다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|METADATA_INCOMPLETE,DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA7010S|DT_1DA7011S|DT_1DA9001S|DT_1DA7012S|DT_1DA7024S|DT_1DA7028S|DT_1DA7004S|DT_1DA7030S|DT_1DA7032S|DT_1DA7035S|DT_1DA7050S|INH_1DA7030S|DT_2OEEM3003|DT_2OEEM3004|DT_2OEEM3005|DT_331001_2021AG001|DT_331001_2021AG002|DT_38304_2013_N004|DT_38304_2013_N012|DT_42301N_073|DT_43701N_032|DT_43701N_079|DT_MOGE_3000400129_2021_12|DT_XNN0039|INH_2OEEM2017|DT_1YL20541|DT_38304_2020_N030,"성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|종사상지위별 취업자|취업시간별 취업자|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|성/연령별 취업자|성/종사상지위별 취업자|행정구역(시도)별 경제활동인구|행정구역(시도)/성별 취업자|행정구역(시도)/교육정도별 취업자|행정구역(시도)/종사상지위별 취업자|행정구역(시도)/성/연령별 취업자|취업자수(시도)|연령별, 성별 고용 및 실업(구성)|연령별, 성별 고용 및 실업(지표)|연령별, 성별 고용 및 실업(수준)|만 18세 이후 6개월 이상 부모와의 분거 경험과 처음 분거한 연령|만 18세 이후 처음으로 부모와 분거한 이유|장애인 경제활동상태 - 장애유형별|장애인 추가취업 희망자 규모|취업정보 연령별 광고 종사자 현황|성별 고용률 비교|가구원 수|중앙행정기관 위원회별 여성참여 현황|근로자 10만명당 치명적 산업재해 수 - 동북·중앙아시아|고용률|취업자증감(시도)|장애인 경제활동상태 - 지역별(서울, 경기도, 광역시도, 기타 시도)"
A01359_5,취업자 수,"{""raw"": ""{\""연령\"": \""25~34세\""}""}",,,"25~34세 취업자는 코로나가 시작된 지난 2020년 2분기(-6만명)부터 2021년 1분기(-5만4000명)까지 줄다, 2021년 2분기(9만5000명)부터 작년 4분기(2000명)까지 늘었다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT,DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA7010S|DT_1DA7011S|DT_1DA9001S|DT_1DA7012S|DT_1DA7024S|DT_1DA7028S|DT_1DA7004S|DT_1DA7030S|DT_1DA7032S|DT_1DA7035S|DT_1DA7050S|INH_1DA7030S|DT_2OEEM3003|DT_2OEEM3004|DT_2OEEM3005|DT_1YL20541,"성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|종사상지위별 취업자|취업시간별 취업자|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|성/연령별 취업자|성/종사상지위별 취업자|행정구역(시도)별 경제활동인구|행정구역(시도)/성별 취업자|행정구역(시도)/교육정도별 취업자|행정구역(시도)/종사상지위별 취업자|행정구역(시도)/성/연령별 취업자|취업자수(시도)|연령별, 성별 고용 및 실업(구성)|연령별, 성별 고용 및 실업(지표)|연령별, 성별 고용 및 실업(수준)|취업자증감(시도)"
A01737_9,고용률,"{""raw"": ""{\""연령\"": \""15~29세\""}""}",청년,,반면 15~29세 청년층 고용률은 45.3%로 전년 동월 대비 0.9%포인트 감소했다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE|UNIT_CONFLICT,INH_1DA7015S|DT_1DA7002S|DT_1DA7012S|DT_2AQ254|DT_1DA7300AS|DT_1DA7024S|DT_1DE9046S|DT_2OEEM3004|DT_38304_2013_N002|DT_1DA7015S,"청년고용률(시도)|연령별 경제활동인구 총괄|성/연령별 경제활동인구|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|성/연령별 취업자|연령별 경제활동상태|연령별, 성별 고용 및 실업(지표)|장애인 경제활동상태 - 연령별|행정구역(시도)/연령별 경제활동인구"
A01737_13,실업률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,이에 따라 전체 청년층 실업률도 7.3%로 전년 동월 대비 0.5%포인트 올랐다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_2KAA348|DT_2OEEO018|DT_XNN0035|DT_XNS0035|DT_1YL20531E|DT_1DE9046S,청년(15~24세) 실업률|실업률|청년(15~24세) 실업률 - 동북·중앙아시아|청년(15~24세) 실업률 - 남부·동남아시아|청년실업률(시도)|연령별 경제활동상태
A02096_15,고용률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,하지만 사회 초년생인 청년층 고용률은 46.2%로 전년 동월 대비 0.7%포인트 감소했다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,INH_1DA7015S|DT_2AQ254|DT_1DA7300AS|DT_1DE9046S,"청년고용률(시도)|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|연령별 경제활동상태"
A02111_10,취업자 수,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,"60세 이상 취업자 수는 2017년 청년층을 추월한 데 이어 2021년엔 30대, 작년엔 40대, 올 3월부터는 50대까지 차례로 제치고 1위가 됐다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE|UNIT_CONFLICT,DT_1LC0004|DT_133001N_836|DT_133N_8321|DT_1DE9072|DT_1DE9072_11|DT_1LC0010|DT_1LC0013|DT_1SSFA195R|DT_1SSFA196R|DT_1YL20541,"종사상지위별 등록취업자 수_시도|8.3.6 법인세 청년고용증대 세액공제 신고 현황[2016~]|8.3.2 법인세 세액공제 신고 현황[2007~]|졸업/중퇴 취업자의 산업별 취업분포(10차, ~2024)|졸업/중퇴 취업자의 산업별 취업분포(11차)|신규 등록취업자의 산업별 일자리 현황|종전 등록취업자의 산업별 일자리 현황|저출생 대책(주된응답, 13세 이상 인구)|저출생 대책(복수응답, 13세 이상 인구)|취업자증감(시도)"
A02638_7,고용률,null,,,지난달 20대 고용률은 60.7%로 전체 고용률(63.7%)보다 3%포인트 낮았다.,1,FREQUENCY_CONFLICT|UNIT_CONFLICT,INH_1DA7014S_03|DT_2STES032|DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA9001S|DT_1DA7012S|INH_2OEEM2017|DT_2AQ254|DT_1DA7004S|DT_1DA7300AS|DT_1DA7300S|DT_1DA9008S,"고용률(시도)|연간주기 미만의 노동 통계 ＞ 고용률|성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|고용률|양질의 일자리와 노동생산성|행정구역(시도)별 경제활동인구|고용보조지표(청년층, 15~29세)|고용보조지표(전체)|고용보조지표 계절조정 (청년, 15~29세)"
A02638_9,고용률,null,,,20대 고용률은 지난해 9월(-0.2%포인트) 이후 13개월 연속 오르지 못하고 있다.,1,FREQUENCY_CONFLICT|UNIT_CONFLICT,INH_1DA7014S_03|DT_2STES032|DT_1DA7001S|DT_1DA7002S|DT_1DA7003S|DT_1DA9001S|DT_1DA7012S|INH_2OEEM2017|DT_2AQ254|DT_1DA7004S|DT_1DA7300AS|DT_1DA7300S|DT_1DA9008S|DT_441001_112,"고용률(시도)|연간주기 미만의 노동 통계 ＞ 고용률|성별 경제활동인구 총괄|연령별 경제활동인구 총괄|교육정도별 경제활동인구|계절조정 경제활동인구 총괄|성/연령별 경제활동인구|고용률|양질의 일자리와 노동생산성|행정구역(시도)별 경제활동인구|고용보조지표(청년층, 15~29세)|고용보조지표(전체)|고용보조지표 계절조정 (청년, 15~29세)|고용형태별 종사자 수"
