claim_id,indicator,dimension,population,region,source_sentence,nearest_reject_count,nearest_reject_codes,nearest_table_ids,nearest_table_names
A01349_18,해외건설,null,,,"11일 해외건설협회의 ‘1분기 해외 수... 태국 고속도로·바라카 원전… K건설, 59년만에 수주 1조달러 “놀라운 일을 계획하고 있습니다.” 1963년 1월, 정주영 현대건설 사장은 시무식에서 임직원을 상대로 이렇게 말했다.",1,METADATA_INCOMPLETE|UNIT_CONFLICT,DT_115036_A006|DT_115036_A007|DT_115036_A084|DT_115036_A085|DT_ICAK_002|DT_ICAK_003|DT_ICAK_001,귀사의 경기실적이 부정적인 이유|귀사의 경기실적이 긍정적인 이유|국가별 수주실적|공종별 수주실적|지역별 수주현황
A00579_10,실업률,"{""raw"": ""{\""연령\"": \""65세 이상\""}""}",65세 이상 인구,,노인 일자리에 참여하려는 고령층도 다수 몰리며 65세 이상 실업률이 9.6%로 전년 동월 대비 0.2%포인트 오르기도 했다.,1,UNIT_CONFLICT,DT_1DA7102S|DT_1DA7105S|DT_1DA7002S|DT_1DA7012S,성/연령별 실업률|연령/교육정도별 실업률|연령별 경제활동인구 총괄|성/연령별 경제활동인구
A01285_22,고용률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,"청년층 고용률은 49개월 만에 최대 감소... 작년 박사 딴 10명 중 3명은 '백수', 역대 최고 작년 박사 학위 취득자 10명 중 3명은 일자리를 구하지 못한 것으로 나타났다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_11831_N001|INH_1DA7015S|DT_2AQ254|DT_1DA7300AS|DT_1DE9046S|DT_204013_2022_H001|DT_212008_2023A043|DT_212008_2023A044|DT_605006_C001|DT_637006_A036|DT_691006_2025D001|DT_704004_C002|DT_705003_2025C001|DT_722002_C001|DT_748002_A029|DT_750003_2024A038|DT_441001_112,"고령자 고용률현황|청년고용률(시도)|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|연령별 경제활동상태|경제활동인구 현황|성별·연령별 청년 경제활동|성별·시군별 청년 경제활동|청년 경제활동|성별·연령별 경제활동인구 현황|청년 경제활동인구|고용형태별 종사자 수"
A01292_8,취업자 수,"{""raw"": ""{\""산업\"": [\""건설업\""]}""}",,,"특히 건설업 취업자 수는 전년 동월 대비 8.7% 줄었는데, 2013년 관련 통계 작성 이래 최대 감소 폭이다.",1,UNIT_CONFLICT,DT_1DA7E06S_NEW,산업별 취업자
A01737_9,고용률,"{""raw"": ""{\""연령\"": \""15~29세\""}""}",청년,,반면 15~29세 청년층 고용률은 45.3%로 전년 동월 대비 0.9%포인트 감소했다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE|UNIT_CONFLICT,INH_1DA7015S|DT_1DA7002S|DT_1DA7012S|DT_2AQ254|DT_1DA7300AS|DT_1DA7024S|DT_1DE9046S|DT_2OEEM3004|DT_38304_2013_N002|DT_1DA7015S,"청년고용률(시도)|연령별 경제활동인구 총괄|성/연령별 경제활동인구|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|성/연령별 취업자|연령별 경제활동상태|연령별, 성별 고용 및 실업(지표)|장애인 경제활동상태 - 연령별|행정구역(시도)/연령별 경제활동인구"
A01737_13,실업률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,이에 따라 전체 청년층 실업률도 7.3%로 전년 동월 대비 0.5%포인트 올랐다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,DT_2KAA348|DT_2OEEO018|DT_XNN0035|DT_XNS0035|DT_1YL20531E|DT_1DE9046S,청년(15~24세) 실업률|실업률|청년(15~24세) 실업률 - 동북·중앙아시아|청년(15~24세) 실업률 - 남부·동남아시아|청년실업률(시도)|연령별 경제활동상태
A01752_11,취업자 수,"{""raw"": ""{\""산업\"": [\""제조업\""]}""}",,,제조업은 지난달 기준 취업자 수가 439만7000명으로 전체 취업자의 15.2%를 차지하는 ‘일자리 창출 1위 업종’이다.,1,UNIT_CONFLICT,DT_1DA7E06S_NEW,산업별 취업자
A02096_10,취업자 수,null,,,다만 지난 4월까지 1년2개월 연속 감소했던 도소매업 취업자는 지난달 1만8000명 늘어 증가세로 돌아섰다.,1,UNIT_CONFLICT,DT_1DA7001S,성별 경제활동인구 총괄
A02096_15,고용률,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,하지만 사회 초년생인 청년층 고용률은 46.2%로 전년 동월 대비 0.7%포인트 감소했다.,1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|UNIT_CONFLICT,INH_1DA7015S|DT_2AQ254|DT_1DA7300AS|DT_1DE9046S,"청년고용률(시도)|양질의 일자리와 노동생산성|고용보조지표(청년층, 15~29세)|연령별 경제활동상태"
A02111_10,취업자 수,"{""raw"": ""{\""연령집단\"": \""청년\""}""}",청년,,"60세 이상 취업자 수는 2017년 청년층을 추월한 데 이어 2021년엔 30대, 작년엔 40대, 올 3월부터는 50대까지 차례로 제치고 1위가 됐다.",1,DIMENSION_MEMBER_CONFLICT|FREQUENCY_CONFLICT|TIME_NOT_AVAILABLE|UNIT_CONFLICT,DT_1LC0004|DT_133001N_836|DT_133N_8321|DT_1DE9072|DT_1DE9072_11|DT_1LC0010|DT_1LC0013|DT_1SSFA195R|DT_1SSFA196R|DT_1YL20541,"종사상지위별 등록취업자 수_시도|8.3.6 법인세 청년고용증대 세액공제 신고 현황[2016~]|8.3.2 법인세 세액공제 신고 현황[2007~]|졸업/중퇴 취업자의 산업별 취업분포(10차, ~2024)|졸업/중퇴 취업자의 산업별 취업분포(11차)|신규 등록취업자의 산업별 일자리 현황|종전 등록취업자의 산업별 일자리 현황|저출생 대책(주된응답, 13세 이상 인구)|저출생 대책(복수응답, 13세 이상 인구)|취업자증감(시도)"
