실행구분,부모Claim번호,자식Claim번호,원문,지표,기사수치,단위,시점,주기,계산방식,구조화상태,공식조회진입,최종상태,중단사유,의미표준,후보통계표수,가까운후보탈락사유,공식좌표,공식값,최종판정,공식값URL,공표URL,응답해시,공표해시,실행단계
개선전,A00579_10,claim_158f2fecc3c9dc11,노인 일자리에 참여하려는 고령층도 다수 몰리며 65세 이상 실업률이 9.6%로 전년 동월 대비 0.2%포인트 오르기도 했다.,실업률,9.6,%,,MONTHLY,DIRECT_VALUE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,"중심 수치와 전년 동월 대비 증감은 명확하지만, 대상 월이 문장에 명시되지 않아 청구 대상 시간을 확정할 수 없음",,0,,[],[],,,,,,
개선전,claim_6e5051d37f7272cd,claim_6640ea0f0882b796,특히 건설업 취업자 수는 전년 동월 대비 8.7% 줄었는데,취업자 수,8.7,%,,MONTHLY,GROWTH_RATE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,전년 동월 대비 감소율은 명확하지만 비교 대상 월이 문장에 직접 제시되지 않아 목표 시점을 확정할 수 없음,,0,,[],[],,,,,,
개선전,claim_6e5051d37f7272cd,claim_f1992da5ed47480e,2013년 관련 통계 작성 이래 최대 감소 폭이다.,,,,,,,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,감소한 지표명과 수치가 제시되지 않아 단일 수치 주장으로 구조화할 수 없음,,0,,[],[],,,,,,
개선전,A01752_11,claim_94f448fb6cab99aa,제조업은 지난달 기준 취업자 수가 439만7000명으로 전체 취업자의 15.2%를 차지하는 ‘일자리 창출 1위 업종’이다.,제조업 취업자 수,4397000.0,명,2025년 4월,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,NO_HARD_GUARD_CANDIDATE,취업자 수,115,DIMENSION_MEMBER_CONFLICT:24 | FREQUENCY_CONFLICT:6 | METADATA_INCOMPLETE:89 | TIME_NOT_AVAILABLE:27 | UNIT_CONFLICT:7,[],[],UNDETERMINED,,,,,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE)
개선전,A02096_10,claim_70158250fb049f4f,다만 지난 4월까지 1년2개월 연속 감소했던 도소매업 취업자는 지난달 1만8000명 늘어 증가세로 돌아섰다.,취업자,18000.0,명,지난달,MONTHLY,GROWTH_RATE,HUMAN_REVIEW,STRUCTURAL_HOLD,HUMAN_REVIEW,"수치가 전년·전월 대비 증가율이 아니라 증감 인원이며, 과거 1년 2개월 연속 감소라는 비교 맥락이 함께 제시됨",,0,,[],[],,,,,,
개선전,A02558_21,A02558_21,지난달 비경제활동인구 중 활동 상태를 ‘쉬었음’이라고 응답한 20대는 39만6000명으로 전년 동월 대비 2000명 늘었다.,경제활동인구,20.0,대,2025-06,M,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,KOSIS_CATALOG_UNAVAILABLE,,0,,[],[],,,,,,
개선전,A02569_6,claim_bf7ca16b4797cde9,하지만 전체 취업자의 15% 이상을 차지하는 취업자 수 1위 업종인 제조업 분야는 전년 동월 대비 8만3000명 줄었다.,취업자 수,83000.0,명,,월,GROWTH_RATE,HOLD,STRUCTURAL_HOLD,HUMAN_REVIEW,감소한 수치는 명시되어 있으나 기준이 되는 대상 월이 기사 발행일 기준으로 직접 특정되지 않아 target time을 확정할 수 없음. 또한 문장 앞부분의 전체 취업자 대비 15% 이상 및 업종 순위 정보는 별도 수치 주장으로 분리하지 않음.,,0,,[],[],,,,,,
개선전,A02633_10,claim_ce3be566a9bbb840,"특히 50대는 작년까지는 계속해서 매달 취업자 수가 전년대비 증가했는데, 올해 들어 1월부터는 9개월 연속 전년대비 감소하는 모습을 보이고 있다.",취업자 수,9.0,개월,2025-01~2025-09,MONTHLY,GROWTH_RATE,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,TARGET_VALUE_NOT_IN_SOURCE_SENTENCE,,0,,[],[],,,,,,
개선전,A02638_3,claim_a7c0eee6078c7244,"17일 국가데이터처의 ‘9월 고용 동향’에 따르면, 지난달 20대 취업자는 343만5000명으로 지난해 9월(356만9000명)보다 13만4000명 줄었다.",취업자 수,3435000.0,명,2025년 9월,MONTHLY,GROWTH_RATE,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_UNIT_INCOMPATIBLE,,0,,[],[],,,,,,
개선전,A02638_5,claim_482f0df9c9f2ebc4,20대 취업자 수는 2022년 11월(-4000명) 이후 2년 11개월 연속 줄어들고 있다.,20대 취업자 수 증감,-4000.0,명,2022-11,MONTHLY,DIRECT_VALUE,HOLD,CONTEXT_REQUIRED,HUMAN_REVIEW,-4000명의 비교 기준(전년 동월 또는 전월 등)이 문장에 명시되지 않아 증감 수치의 비교 유형을 확정할 수 없음,,0,,[],[],,,,,,
