기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,재분류결과,재분류사유,다음경로,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00628,16:multi:1,claim_b320ebdd6a334269,claim_b320ebdd6a334269,10년 전과 비교하면 전체 취업자가 10.3% 늘어나는 동안 임금 근로자는 16.3% 증가했고 자영업자는 5.9% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,24,24,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,0,,,
A02096,11:multi:2,claim_60c76d3e7237ece9,claim_60c76d3e7237ece9,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,8,66,66,HOLD,HARD_GUARD,NO_EVIDENCE_COORDINATE_CANDIDATE,COORDINATE,,EVIDENCE_CELL,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,0,,,
A00202,17:multi:1,claim_ab9a0dc2b2b44212,claim_ab9a0dc2b2b44212,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,5,58,57,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,AUTO,OUTSIDE_TOLERANCE,RESOLVED,,,,DT_1DA7010S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7010S&itmId=T30&prdSe=M&startPrdDe=202412&endPrdDe=202412&objL1=51,1,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
A01285,13:multi:1,claim_bbcc1e4c668b3946,claim_bbcc1e4c668b3946,"건설업 부진 장기화로 40대와 50대 취업자 수도 각각 4만9000명, 2만6000명 줄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,59,59,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,AUTO,OUTSIDE_TOLERANCE,RESOLVED,,,,DT_1DA7002S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T30&prdSe=M&startPrdDe=202503&endPrdDe=202503&objL1=40,1,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
A02184,11:multi:1,claim_cad2a46b2ed3b674,claim_cad2a46b2ed3b674,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,41,41,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,AUTO,OUTSIDE_TOLERANCE,RESOLVED,,,,DT_1DA7003S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7003S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=30,1,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
A02184,11:multi:2,claim_77fb7a40a6955f37,claim_77fb7a40a6955f37,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,29,29,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,AUTO,OUTSIDE_TOLERANCE,RESOLVED,,,,DT_1DA7003S,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7003S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=40,1,hard-guard-alias-v1,employment-hard-guard-4-20260823,2026-08-23T11:33:11.985428+00:00
A00202,20:multi:1,claim_cc45f161cb09e889,claim_cc45f161cb09e889,인구 대비 취업자 수 비율을 뜻하는 고용률은 지난달 61.4%로 1년 전(61.7%)에 비해 0.3%포인트 떨어졌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,28,28,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A00579,13:multi:1,claim_7a4108c7b1224609,claim_7a4108c7b1224609,"지난달 15~29세 청년층 취업자 수는 전년 동월 대비 21만8000명 줄었는데, 고용률 기준으로도 44.8%에 그치며 전년 동월 대비 1.5%포인트 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,56,56,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A00621,5:multi:1,claim_7b292cef4a1d724a,claim_7b292cef4a1d724a,하지만 ‘양질의 일자리’로 꼽히는 제조업 분야 취업자 수는 5만6000명 줄어든 439만6000명으로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,59,59,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
A00922,9:multi:1,claim_a53a99ef7f4c9e8e,claim_a53a99ef7f4c9e8e,청년 취업자는 355만7000명으로 1년 새 23만5000명 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,4,64,63,AUTO,VERDICT,WITHIN_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,WITHIN_TOLERANCE,,,,,,,,,0,,,
A02096,11:multi:1,claim_51187645801dea7d,claim_51187645801dea7d,"지난달 연령대 별 취업자 수는 60세 이상과 30대에서 취업자가 각각 37만명, 13만2000명 늘어났다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,8,64,63,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,,,,0,,,
