기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,1,A00006_1,A00006_1,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,24,6,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00018,1,A00018_1,A00018_1,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,35,14,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00070,11,A00070_11,A00070_11,"대중 수출은 지난 2010년(1168억3800만달러)부터 1000억달러선을 넘어섰고, 2021년에는 1629억1300만달러까지 늘어났지만 이후 감소세가 눈에 띄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,50,15,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00182,4,A00182_4,A00182_4,이 기간 휴일을 뺀 조업(操業) 일수는 지난해와 같아 이를 고려한 일평균 수출액 역시 3.8% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,35,16,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00202,18,A00202_18,A00202_18,반면 상용직(1년 이상)은 지난달 취업자 수가 1만2000명 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00273,1,A00273_1,A00273_1,지난해 우리나라 화장품 수출액이 사상 최대인 102억달러를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,53,15,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00279,5,A00279_5,A00279_5,작년 1월부터 11월까지 출생아 수 22만94명으로 전년에 비해 3% 늘어났다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,33,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00279,6,A00279_6,A00279_6,출생아 수는 2015년 0.7% 증가했다가 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,11,4,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00292,5,A00292_5,A00292_5,연간 출생아 수는 2015년 0.7% 증가한 것을 마지막으로 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,30,8,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00312,9,A00312_9,A00312_9,"◇중간재 수출, MAGA의 핵심 최근 5년간 한국의 대미 수출 통계를 보면 중간재 수출은 55.4%(2020년)→57.8% →60.4%→50.1%→ 51.2%(2024년)로 늘 과반을 차지했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,54,13,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A00365,3,A00365_3,A00365_3,"떡류 수출액은 2023년 7780만달러로 역대 최대치를 달성한 데 이어, 작년 17.5% 더 늘어나 기록을 경신했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,41,16,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
