기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,15,A00006_15,A00006_15,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,24,10,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00006,5,A00006_5,A00006_5,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,35,10,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00006,6,A00006_6,A00006_6,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,3,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00006,9,A00006_9,A00006_9,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,16,24,7,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00018,8,A00018_8,A00018_8,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,24,5,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00067,3,A00067_3,A00067_3,한국수입자동차협회(KAIDA)는 6일 지난해 수입 승용차 신규 등록 대수를 집계한 결과 테슬라 모델 Y가 지난해 모두 1만8717대가 팔리며 수입 승용차 가운데 최고 인기 모델로 꼽혔다고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,20,6,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00067,7,A00067_7,A00067_7,전체 수입차 판매는 2023년(27만1034대)보다 2.9% 감소한 26만3288대에 그쳤다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,6,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00070,4,A00070_4,A00070_4,"6일 한국무역협회에 따르면, 지난해 대중 수출액은 1330억2600만달러로 전년 대비 6.6% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,4,36,14,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00081,4,A00081_4,A00081_4,한국수입자동차협회(KAIDA)는 6일 “지난해 테슬라 모델 Y가 연간 1만8717대가 팔리며 수입 승용차 가운데 최고 인기 모델에 올랐다”고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,20,7,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00081,7,A00081_7,A00081_7,전체 수입차 판매는 2023년(27만1034대)보다 2.9% 감소한 26만3288대에 그쳤다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,7,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00086,13,A00086_13,A00086_13,한은은 올해 수출 증가율을 1.5%로 내다보고 있다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,24,7,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00163,11,A00163_11,A00163_11,"앞서 지난해 12월 수출은 전년 동월 대비 6.6% 증가한 613억 8000만달러를 기록해, 15개월 연속 증가세를 보였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,35,9,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00187,3,A00187_3,A00187_3,지난달 취업자 수가 46개월 만에 5만2000명(전년 동기 대비) 감소 전환한 데 따른 조치다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00189,8,A00189_8,A00189_8,특히 원화로 환산한 것이 아닌 계약 통화를 기준으로 한 수입 물가는 오히려 전월대비 0.2% 떨어졌다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00195,11,A00195_11,A00195_11,"연간 경제성장률이 3~4%에 달하던 시절은 아련하고, 지금은 1% 성장률에 머물러 있다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,4,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00202,2,A00202_2,A00202_2,취업자 수는 코로나 사태의 직격탄을 맞은 2021년 2월(-47만3000명) 이후 3년 10개월 만에 감소세로 돌아섰다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00202,4,A00202_4,A00202_4,작년 연간 취업자 수는 15만명 늘어나는 데 그쳐 증가폭이 1년 전의 절반 이하로 쪼그라들었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00202,5,A00202_5,A00202_5,"15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지난달 취업자 수는 2804만1000명으로 전년 동월 대비 5만2000명 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,1,0,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00268,14,A00268_14,A00268_14,무역 수지도 518억 달러 흑자로 2021년 이후 3년 만에 흑자로 돌아섰다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,3,2,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00270,14,A00270_14,A00270_14,"MZ세대(1980~2005년 출생)가 살기 좋은 ... ""두 세대 후 한국 인구 85%가 사라질 것"" 최후의 인구론 폴 몰런드 지음·이재득 옮김｜미래의창｜304쪽｜1만9000원 “두 세대 후 한국 인구의 85퍼센트는 사라질 것.” 세계적 인구 통... 자녀 없는 50세 여성 12%... 10년새 3배로 1960년생 여성들이 50세가 됐을 때 평균 자녀수는 1.96명이었지만, 10년 후 1970년생이 50세가 됐을 때는 1.71명으로 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,2,1,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
A00279,12,A00279_12,A00279_12,다만 작년 11월 사망자 수는 2만9219명으로 전년 동월 대비 3.8% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,10,1,HOLD,KOSIS_METADATA,KOSIS_METADATA_UNAVAILABLE,OFFICIAL_PATH,,SEMANTIC_MAPPING~KOSIS_METADATA,HOLD,KOSIS_METADATA_UNAVAILABLE,,,,,,0,,,
