기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00202,1,A00202_1,A00202_1,건설업과 도소매업을 중심으로 내수 부진이 장기화하면서 지난달 취업자 수가 1년 전에 비해 5만명 넘게 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,2,37,32,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A00202,25,A00202_25,A00202_25,◇연간 취업자도 ‘반 토막’ 작년 한 해 월평균 취업자 수는 2857만6000명으로 1년 전보다 15만9000명 늘어나는 데 그쳤다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A00202,26,A00202_26,A00202_26,"증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 여파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고용 성적표를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A00645,23,A00645_23,A00645_23,"뉴질랜드는 지난해 2~3분기 연속 성장률이 마이너스(-)를 기록했고, 4분기 실업률은 5%를 넘는 등 성장이 둔화하고 실업률이 오르고 있기 때문이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,29,22,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A01193,11,A01193_11,A01193_11,"같은 방식으로 비교했을 때 2023년까지만 해도 외국인과 노인 일자리 참여자 증가 규모는 11만8000명으로, 전체 취업자 증가 폭(32만7000명)보다 적었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A01193,7,A01193_7,A01193_7,"그 결과 작년 외국인 취업자는 8만7000명, 노인 일자리 참여자는 9만2000명 늘어난 것으로 파악됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A01285,4,A01285_4,A01285_4,"9일 통계청이 발표한 ‘3월 고용동향’에 따르면, 지난 3월 취업자 수는 2858만9000명으로 전년 동월 대비 19만3000명 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,1,1,AUTO,VERDICT,WITHIN_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,WITHIN_TOLERANCE,,,,,,0,,,
A01285,6,A01285_6,A01285_6,지난달 취업자 수 증가폭은 취업자가 26만명 넘게 늘어난 작년 4월 이후 11개월 만에 가장 크다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A01345,10,A01345_10,A01345_10,"이 업종 취업자의 전년 동기 대비 감소 폭은 작년 2분기(2000명), 3분기(4만5000명), 4분기(8만9000명) 등으로 확대되는 추세를 보였다가, 올해 1분기에 감소 폭이 다소 줄었지만 감소세는 여전한 상황이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A01359,9,A01359_9,A01359_9,"특히 20대 후반 취업자 수는 242만명으로 전년 동기 대비 9만8000명(3.9%) 줄어, 지난 2013년 3분기(-10만3000명) 이후 12년 만에 최대 감소 폭을 보였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
A01902,19,A01902_19,A01902_19,"26일 통계청에 따르면, 청년층인 15~29세 실업률은 7.3%로 코로나 대유행 막바지인 2022년(7.4%) 이후 3년 만에 4월 기준 최고다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,4,32,19,AUTO,VERDICT,OUTSIDE_TOLERANCE,REGRESSION,,전체경로 회귀검사,AUTO,OUTSIDE_TOLERANCE,,,,,,0,,,
