기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00018,4,A00018_4,A00018_4,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,12,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00023,36,A00023_36,A00023_36,성장률과 물가 상승률이 모두 2%를 밑돈 경우는 2020년이 마지막이었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,3,44,20,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00041,3,A00041_3,A00041_3,지난해 말 상승한 국제 곡물 가격도 3~4개월 시차를 두고 국내 식품 물가에 반영될 가능성이 높다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,43,27,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00103,3,A00103_3,A00103_3,"7일 농림축산식품부에 따르면, 지난해 K푸드+ 수출액은 130억3000만달러로 1년 전보다 6.1% 증가한 역대 최고치를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,36,14,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00163,3,A00163_3,A00163_3,수입은 190억 달러로 전년동기 대비 2.6% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,39,12,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00189,15,A00189_15,A00189_15,"수출물가지수는 133.75로 전월대비 2.4%, 전년 대비 10.7% 올랐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,3,45,21,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00224,16,A00224_16,A00224_16,지난해 달러 기준 연간 수출액은 1년 전보다 5.9% 증가하며 2022년(7%) 이후 가장 큰 폭으로 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,24,7,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00271,13,A00271_13,A00271_13,이 경우 연간 GDP는 최대 0.67% 감소한다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,29,6,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00298,3,A00298_3,A00298_3,작년 연간 경제성장률은 2%로 잠재성장률(2%)을 간신히 지켰다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,20,7,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00308,5,A00308_5,A00308_5,한국은행은 23일 “2024년 실질 국내총생산(GDP)이 1년 전보다 2% 증가했다”고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,29,15,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00312,31,A00312_31,A00312_31,"한국무역협회 분석에 따르면, 한국의 대미 수출 가운데 관계사 간 거래 비율은 2015년 이후 꾸준히 60% 안팎을 기록하고 있고 지난해에도 58%를 차지했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,53,18,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00353,14,A00353_14,A00353_14,"2023년 법인 소유 수입차 신규 등록 건수는 10만7677건으로, 전체에서 39.7%를 차지했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,39,14,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00354,3,A00354_3,A00354_3,"65세 이상 인구 비중이 14% 이상이면 고령사회(aged society)로 분류되는데, 우리는 2018년에 고령사회에 진입했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,33,10,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00489,9,A00489_9,A00489_9,실제 우리나라 경상수지 중 수출에서 수입을 뺀 상품수지는 전년보다 165%나 뛰었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,4,35,19,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00491,3,A00491_3,A00491_3,"그러나 1월 실업률은 4%를 기록, 전월(4.1%)보다 낮았다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,19,5,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00538,5,A00538_5,A00538_5,"그러나 이 기간 조업일수는 7일이었던 반면, 지난해 같은 기간에는 6.5일에 그친 것을 고려한 일평균 수출액은 22조7000억달러에서 21조3000억달러로 6.4% 줄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,4,35,20,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00538,9,A00538_9,A00538_9,이 기간 수입은 171조500만달러로 전년 동기 대비 0.3% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,34,20,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00545,36,A00545_36,A00545_36,"전년(3조4217억원)보다 9.3% 늘어난 것으로, 기존 역대 최대 실적이... 끝이 안 보이는 내수 부진… 소매 판매 21년 만에 최대 감소 고(高)금리·고물가로 식어가던 내수가 경기 부진과 정치 불안이 겹친 작년 들어 싸늘하게 얼어붙었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,5,48,27,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00547,9,A00547_9,A00547_9,"이어 작년 말 물가상승률이 2.9%로 올랐고, 연준은 금리를 동결하기 시작했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,3,44,20,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00581,4,A00581_4,A00581_4,작년 11월만 해도 1.3%에 그쳤던 가공식품 물가 오름폭은 12월(2%)부터 두 달 연속 커져 작년 1월(3.2%) 이후 가장 높은 상승률을 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,38,23,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00622,6,A00622_6,A00622_6,"통계청에 따르면, 작년 과일 품목 가운데 배의 소비자 물가 지수가 71.9% 올라 가장 큰 상승 폭을 보였고, 이어 귤(46.2%)·감(36.6%)·사과(30.2%)·복숭아(13.1%)·수박(9.6%)·포도(9.1%) 등의 순이었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,7,25,18,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A00636,2,A00636_2,A00636_2,산업통상자원부는 지난 달 하이브리드차 수출대수가 전년 동월보다 35.5% 증가한 3만5701대를 기록했다고 17일 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,30,21,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A00723,17,A00723_17,A00723_17,"관세청에 따르면 이달 1~20일 수출액은 353억달러로 전년보다 16% 늘었지만, 조업 일수를 고려한 일평균 수출액은 22억8000만달러로 전년보다 2.7% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,23,14,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
