기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00134,3,A00134_3,A00134_3,실업률은 전월(4.2%)보다 소폭(0.1% 포인트) 떨어진 4.1%를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,29,25,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00163,2,A00163_2,A00163_2,13일 관세청에 따르면 1~10일 수출은 160억 달러로 전년동기 대비 3.8% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,41,18,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00268,13,A00268_13,A00268_13,"그 결과 작년 한 해 전체 수출액은 6838억달러로 1년 전 대비 8.2% 증가했고, 기존 역대 최대 규모였던 2022년 기록(6836억달러)을 깨고 역대 최대 수출 실적을 달성했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,35,14,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00279,1,A00279_1,A00279_1,작년 11월 출생아 수가 1년 전에 비해 14.6% 늘어나며 14년 만에 가장 높은 증가율을 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,29,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00279,3,A00279_3,A00279_3,"22일 통계청이 22일 발표한 ‘2024년 11월 인구동향’에 따르면, 작년 11월 출생아 수는 1년 전에 비해 14.6% 늘어난 2만95명으로 집계됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,43,32,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00298,4,A00298_4,A00298_4,"23일 한국은행이 발표한 ‘2024년 4분기 및 연간 실질국내총생산(속보)’에 따르면, 작년 4분기 실질 국내총생산(GDP)은 전분기보다 0.1% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,2,27,16,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
A00312,4,A00312_4,A00312_4,"하지만 23일 한국무역협회의 ‘대미 가공단계별 수출’ 분석 자료에 따르면, 지난해 대미 수출액 1277억8600만달러 가운데 절반이 넘는 653억9900만달러(51.2%)가 중간재인 것으로 나타났다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,53,15,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00440,15,A00440_15,A00440_15,"한편, 지난달 기준 전산업 생산은 전월 대비 2.3% 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,11,HOLD,OFFICIAL_VALUE_FETCH,AS_OF_UNAVAILABLE,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,AS_OF_UNAVAILABLE,,,,,,0,,,
A00459,10,A00459_10,A00459_10,지난 2023년 연간 건설 수주는 전년 대비 18.5% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,12,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00513,2,A00513_2,A00513_2,작년 우리나라 수출의 1.9%에 해당하는 규모다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,30,20,HOLD,OFFICIAL_VALUE_FETCH,FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,FETCH_FAILED,,,,,,0,,,
A00538,4,A00538_4,A00538_4,"11일 관세청에 따르면, 지난 1~10일 수출액은 148조7600만달러로 전년 동기 대비 0.8% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,4,18,12,HOLD,OFFICIAL_VALUE_FETCH,PUBLICATION_FETCH_FAILED,VALUE_PUBLICATION,,OFFICIAL_VALUE_FETCH~VERDICT,HOLD,PUBLICATION_FETCH_FAILED,,,,,,0,,,
