부모Claim번호,자식Claim번호,재입장경로,12개항목완성,남은문제,지표,지표상태,수치,수치상태,단위,단위상태,시점,시점상태,주기,주기상태,지역,지역상태,대상,대상상태,차원,차원상태,비교,비교상태,계산,계산상태,조건,조건상태,작성기관힌트,작성기관힌트상태
A00006_10,claim_5576f35146b6e1ba,CONTEXT_REQUIRED,아니오,"MISSING_REQUIRED_SLOTS:value,unit,calculation",범용 메모리 가격,SOURCE,,MISSING,,MISSING,지난 4분기,SOURCE,분기,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""제품"": ""범용 메모리""}",SOURCE,,NOT_APPLICABLE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE
A00006_10,claim_48dee5c16c098b17,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:value,unit,calculation",수출,SOURCE,,MISSING,,MISSING,2025,SOURCE,분기,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""품목"": ""DDR5·HBM 등 고부가 품목""}",SOURCE,"{""방향"": ""우상향""}",SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE
A00006_13,claim_0568126f6fdb1a71,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,수출액,SOURCE,480.0,SOURCE,억 달러,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""industry"": ""석유화학""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE
A00006_13,claim_1aba4956ebb5960e,KOSIS_PIPELINE_ELIGIBLE,예,,수출,SOURCE,5.0,SOURCE,%,SOURCE,2024,SOURCE,연간,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""석유화학""}",SOURCE,"{""reference_period"": ""2023"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,산업통상자원부,SOURCE
A00006_19,claim_ab8d8650567aab68,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:comparison,수출,SOURCE,31.5,SOURCE,%,SOURCE,12월,SOURCE,MONTHLY,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""item"": ""반도체""}",SOURCE,,MISSING,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,기사 발행일 2025-01-01 기준 상대 시점,SOURCE
A00006_19,claim_1cfdf0cdef4298d6,KOSIS_PIPELINE_ELIGIBLE,예,,수출액,SOURCE,145.0,SOURCE,억 달러,SOURCE,12월,SOURCE,MONTHLY,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""item"": ""반도체""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,기사 원문,SOURCE
A00006_8,A00006_8,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:indicator,value,unit,calculation",,MISSING,,MISSING,,MISSING,지난해,SOURCE,,NOT_APPLICABLE,한국,SOURCE,,NOT_APPLICABLE,"{""품목군"": ""반도체 등 IT 품목; 선박·자동차 등 주력 품목; 바이오헬스·농수산식품·화장품 등 소비재 품목""}",SOURCE,"{""type"": ""RECORD_HIGH""}",SOURCE,,MISSING,,NOT_APPLICABLE,"기사 본문: 2024년 수출 6838억 달러, 무역수지 518억 달러 흑자",SOURCE
A00018_3,A00018_3,CONTEXT_REQUIRED,예,,수출액,SOURCE,1419.0,SOURCE,억달러,SOURCE,2024,SOURCE,ANNUAL,SOURCE,대한민국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""반도체""}",SOURCE,"{""type"": ""RECORD_HIGH""}",SOURCE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,산업통상자원부·관세청,SOURCE
A00018_9,A00018_9,CONTEXT_REQUIRED,예,,수출액,SOURCE,613.8,SOURCE,십억 달러,SOURCE,2024년 12월,SOURCE,월,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""item"": ""전체 수출""}",SOURCE,,NOT_APPLICABLE,RANK,SOURCE,"{""order"": ""DESC"", ""population_scope"": ""역대 월간 수출액"", ""rank_value"": ""1""}",SOURCE,기사 본문: 작년 12월 수출은 613억8000만달러,SOURCE
A00023_6,claim_569893f0ffa1239d,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,한국은행 물가 안정 목표치,SOURCE,2.0,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,한국,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,한국은행,SOURCE
