부모Claim번호,자식Claim번호,재입장경로,12개항목완성,남은문제,재분류결과,재분류사유,다음경로,지표,지표상태,수치,수치상태,단위,단위상태,시점,시점상태,주기,주기상태,지역,지역상태,대상,대상상태,차원,차원상태,비교,비교상태,계산,계산상태,조건,조건상태,작성기관힌트,작성기관힌트상태
A00006_10,claim_5576f35146b6e1ba,CONTEXT_REQUIRED,아니오,"MISSING_REQUIRED_SLOTS:value,unit,calculation",NO_VERIFIABLE_NUMERIC_ASSERTION,NO_STATISTICAL_TARGET_VALUE,PRE_VERIFICATION_EXCLUDE,범용 메모리 가격,SOURCE,,MISSING,,MISSING,지난 4분기,SOURCE,분기,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""제품"": ""범용 메모리""}",SOURCE,,NOT_APPLICABLE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE
A00006_10,claim_48dee5c16c098b17,CONTEXT_REQUIRED,아니오,"MISSING_REQUIRED_SLOTS:value,unit,calculation",NO_VERIFIABLE_NUMERIC_ASSERTION,NO_STATISTICAL_TARGET_VALUE,PRE_VERIFICATION_EXCLUDE,수출,SOURCE,,MISSING,,MISSING,2024,SOURCE,QUARTERLY,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""product"": ""DDR5·HBM 등 고부가 품목""}",SOURCE,,NOT_APPLICABLE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE
A00006_13,claim_0568126f6fdb1a71,STRUCTURAL_HOLD,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,수출액,SOURCE,480.0,SOURCE,억 달러,SOURCE,2024,SOURCE,연간,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""석유화학""}",SOURCE,"{""type"": ""YEAR_OVER_YEAR""}",SOURCE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,산업통상자원부,SOURCE
A00006_13,claim_1aba4956ebb5960e,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,수출,SOURCE,5.0,SOURCE,%,SOURCE,2024,SOURCE,연간,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""석유화학""}",SOURCE,"{""reference_period"": ""2023"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,산업통상자원부,SOURCE
A00006_19,claim_ab8d8650567aab68,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,반도체 수출,SOURCE,31.5,SOURCE,%,SOURCE,12월,SOURCE,MONTHLY,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""item"": ""반도체""}",SOURCE,"{""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,,NOT_APPLICABLE
A00006_19,claim_1cfdf0cdef4298d6,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,수출액,SOURCE,145.0,SOURCE,억 달러,SOURCE,2024년 12월,SOURCE,월간,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""반도체""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,기사 원문,SOURCE
A00006_8,A00006_8,STRUCTURAL_HOLD,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,수출 실적,SOURCE,6838.0,SOURCE,억 달러,SOURCE,2024,SOURCE,연간,SOURCE,대한민국,SOURCE,,NOT_APPLICABLE,"{""품목군"": ""반도체 등 IT 품목; 선박·자동차 등 주력 품목; 바이오헬스·농수산식품·화장품 등 소비재 품목""}",SOURCE,"{""type"": ""RECORD_HIGH""}",SOURCE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,산업통상자원부,SOURCE
A00018_3,A00018_3,CONTEXT_REQUIRED,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,수출액,SOURCE,1419.0,SOURCE,억달러,SOURCE,2024년,SOURCE,년,SOURCE,한국,SOURCE,,NOT_APPLICABLE,"{""품목"": ""반도체""}",SOURCE,"{""type"": ""RECORD_HIGH""}",SOURCE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,산업통상자원부와 관세청,SOURCE
A00018_9,A00018_9,CONTEXT_REQUIRED,아니오,MISSING_REQUIRED_SLOTS:dimension,SOURCE_CONTEXT_INSUFFICIENT,MISSING_REQUIRED_SLOTS:dimension,CONTEXT_REVIEW,수출액,SOURCE,613800000000.0,SOURCE,달러,SOURCE,2024년 12월,SOURCE,월,SOURCE,한국,SOURCE,,NOT_APPLICABLE,,MISSING,,NOT_APPLICABLE,RANK,SOURCE,"{""order"": ""DESC"", ""population_scope"": ""한국의 역대 월간 수출액"", ""rank_value"": ""1""}",SOURCE,산업통상자원부와 관세청,SOURCE
A00023_6,claim_569893f0ffa1239d,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,FORECAST_OR_POLICY,EXPLICIT_FORECAST_OR_POLICY_MARKER,PRE_VERIFICATION_EXCLUDE,소비자 물가 상승률,SOURCE,2.0,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,한국,SOURCE,,NOT_APPLICABLE,"{""target_type"": ""물가 안정 목표치""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,한국은행,SOURCE
A00023_6,claim_b27f85499761db2b,CONTEXT_REQUIRED,아니오,MISSING_REQUIRED_SLOTS:time,FORECAST_OR_POLICY,EXPLICIT_FORECAST_OR_POLICY_MARKER,PRE_VERIFICATION_EXCLUDE,소비자물가 상승률,SOURCE,1.8,SOURCE,%,SOURCE,,MISSING,연간,SOURCE,한국,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""reference_unit"": ""%"", ""reference_value"": ""2"", ""type"": ""THRESHOLD_COMPARISON""}",SOURCE,DIRECT_VALUE,SOURCE,"{""operator"": ""LT"", ""threshold_unit"": ""%"", ""threshold_value"": ""2""}",SOURCE,정부 전망,SOURCE
A00029_14,A00029_14,CONTEXT_REQUIRED,아니오,"MISSING_REQUIRED_SLOTS:value,unit",NO_VERIFIABLE_NUMERIC_ASSERTION,NO_STATISTICAL_TARGET_VALUE,PRE_VERIFICATION_EXCLUDE,수출,SOURCE,,MISSING,,MISSING,2023년,SOURCE,연간,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""reference_period"": ""2023년"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""DECREASE""}",SOURCE,,NOT_APPLICABLE
A00029_16,A00029_16,CONTEXT_REQUIRED,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,KG모빌리티 수출량,SOURCE,18.2,SOURCE,%,SOURCE,같은 기간,SOURCE,연간,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""item"": ""KG모빌리티""}",SOURCE,"{""absolute_quantity"": ""62378"", ""absolute_quantity_unit"": ""대"", ""reference_period"": ""2023년 같은 기간"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,기사 본문,SOURCE
A00029_17,claim_f57536c85653606d,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,SOURCE_CONTEXT_INSUFFICIENT,MISSING_REQUIRED_SLOTS:time,CONTEXT_REVIEW,자동차 수출 순위,SOURCE,1.0,SOURCE,위,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,자동차 수출 업체,SOURCE,"{""업체"": ""현대차""}",SOURCE,,NOT_APPLICABLE,RANK,SOURCE,"{""order"": ""DESC"", ""population_scope"": ""자동차 수출 업체"", ""rank_value"": ""1""}",SOURCE,기사 본문,SOURCE
A00029_17,claim_9be59f90d1944b8b,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:time,comparison",SOURCE_CONTEXT_INSUFFICIENT,"MISSING_REQUIRED_SLOTS:time,comparison",CONTEXT_REVIEW,현대차 수출,SOURCE,0.5,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""item"": ""현대차""}",SOURCE,,MISSING,GROWTH_RATE,SOURCE,"{""direction"": ""DECREASE""}",SOURCE,사용자 지정 target_numeric_expression: 0.5%,SOURCE
A00029_17,claim_532b19ebdc018bba,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,SOURCE_CONTEXT_INSUFFICIENT,MISSING_REQUIRED_SLOTS:time,CONTEXT_REVIEW,판매,SOURCE,18.4,SOURCE,percent,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,"{""company"": ""르노코리아""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,"{""direction"": ""DECREASE""}",SOURCE,기사 문장에 르노코리아 판매 감소율로 제시됨,SOURCE
A00029_3,A00029_3,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:indicator,value,unit,time,calculation",SOURCE_CONTEXT_INSUFFICIENT,"MISSING_REQUIRED_SLOTS:indicator,value,unit,time,calculation",CONTEXT_REVIEW,,MISSING,,MISSING,,MISSING,,MISSING,,NOT_APPLICABLE,대한민국,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,MISSING,,NOT_APPLICABLE,"기사 본문에 내수 판매 감소, 전체 수출 보합, 현대차·르노코리아 판매 감소가 함께 제시됨",SOURCE
A00030_14,A00030_14,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,FORECAST_OR_POLICY,EXPLICIT_FORECAST_OR_POLICY_MARKER,PRE_VERIFICATION_EXCLUDE,무역금융 공급 규모,SOURCE,360.0,SOURCE,조원,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,수출 기업,SOURCE,"{""규모"": ""역대 최대""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE
A00041_5,claim_762f362ef56e7449,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,SOURCE_CONTEXT_INSUFFICIENT,MISSING_REQUIRED_SLOTS:time,CONTEXT_REVIEW,물가 상승폭을 산출한 품목 수,SOURCE,175.0,SOURCE,개,SOURCE,,MISSING,,NOT_APPLICABLE,,NOT_APPLICABLE,품목,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE
A00041_5,claim_b02dc8c186e9d718,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,물가 상승폭,SOURCE,3.9,SOURCE,%,SOURCE,2024,SOURCE,연간,SOURCE,대한민국,SOURCE,175개 품목,SOURCE,,NOT_APPLICABLE,"{""operand_unit"": ""%"", ""reference_period"": ""2023"", ""reference_value"": ""2.3"", ""type"": ""YEAR_OVER_YEAR""}",SOURCE,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE""}",SOURCE,기사 본문,SOURCE
A00041_5,claim_879a9aec25311de1,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,연간 소비자물가지수 상승폭,SOURCE,2.3,SOURCE,%,SOURCE,2024,SOURCE,ANNUAL,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,기사 발행일 2025-01-04 기준 지난해,SOURCE
A00041_7,A00041_7,CONTEXT_REQUIRED,아니오,MISSING_REQUIRED_SLOTS:comparison,FORECAST_OR_POLICY,EXPLICIT_FORECAST_OR_POLICY_MARKER,PRE_VERIFICATION_EXCLUDE,물가 상승률,SOURCE,2.0,SOURCE,%,SOURCE,이달,SOURCE,,NOT_APPLICABLE,국내,SOURCE,,NOT_APPLICABLE,,NOT_APPLICABLE,,MISSING,GROWTH_RATE,SOURCE,"{""direction"": ""INCREASE"", ""expectation"": ""FORECAST""}",SOURCE,,NOT_APPLICABLE
A00049_8,claim_fd637f342e9da4dc,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,해외 건설 누적 수주액,SOURCE,1000000000000.0,SOURCE,USD,SOURCE,2025-01-03,SOURCE,,NOT_APPLICABLE,해외,SOURCE,우리 기업,SOURCE,"{""산업"": ""건설""}",SOURCE,,NOT_APPLICABLE,THRESHOLD,SOURCE,"{""operator"": ""GTE"", ""threshold_unit"": ""USD"", ""threshold_value"": ""1000000000000""}",SOURCE,국토교통부,SOURCE
A00049_8,claim_ea514e427385861f,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,우리 기업의 해외 건설 누적 수주액,SOURCE,1470.0,SOURCE,조원,SOURCE,2025-01-03,SOURCE,누적,SOURCE,해외,SOURCE,우리 기업,SOURCE,"{""industry"": ""건설""}",SOURCE,,NOT_APPLICABLE,DIRECT_VALUE,SOURCE,,NOT_APPLICABLE,국토교통부,SOURCE
A00067_2,A00067_2,KOSIS_PIPELINE_ELIGIBLE,예,,OFFICIAL_VERIFICATION_TARGET,TWELVE_SLOT_COMPLETE,OFFICIAL_SEARCH,수입 승용차 브랜드 판매 순위,SOURCE,1.0,SOURCE,위,SOURCE,2024,SOURCE,연간,SOURCE,대한민국,SOURCE,수입 승용차 브랜드,SOURCE,"{""brand"": ""BMW""}",SOURCE,"{""reference_period"": ""2023""}",SOURCE,RANK,SOURCE,"{""direction"": ""DECREASE"", ""order"": ""DESC"", ""population_scope"": ""수입 승용차 브랜드"", ""rank_value"": ""1""}",SOURCE,한국수입자동차협회(KAIDA),SOURCE
A00070_19,claim_a2f6b07109407ca6,STRUCTURAL_HOLD,아니오,MISSING_REQUIRED_SLOTS:time,SOURCE_CONTEXT_INSUFFICIENT,MISSING_REQUIRED_SLOTS:time,CONTEXT_REVIEW,반도체 수출 비율,SOURCE,9.0,SOURCE,%p,SOURCE,,MISSING,,NOT_APPLICABLE,우리나라,SOURCE,반도체 수출,SOURCE,"{""trade_partner"": ""중국·홍콩""}",SOURCE,"{""reference_period"": ""1995년"", ""type"": ""UNSPECIFIED""}",SOURCE,DIFFERENCE,SOURCE,"{""direction"": ""DECREASE"", ""operator"": ""GTE"", ""threshold_unit"": ""%p"", ""threshold_value"": ""9""}",SOURCE,기사 원문; 2025-01-06 게시,SOURCE
A00070_19,claim_1f9fe26d9809dc42,STRUCTURAL_HOLD,아니오,"MISSING_REQUIRED_SLOTS:time,comparison",SOURCE_CONTEXT_INSUFFICIENT,"MISSING_REQUIRED_SLOTS:time,comparison",CONTEXT_REVIEW,우리나라 수출에서 반도체 수출이 차지하는 비중,SOURCE,20.0,SOURCE,%,SOURCE,,MISSING,,NOT_APPLICABLE,대한민국,SOURCE,,NOT_APPLICABLE,"{""item"": ""반도체""}",SOURCE,,MISSING,SHARE,SOURCE,,NOT_APPLICABLE,한국무역협회,SOURCE
