기사번호,문장번호,부모Claim번호,원문,발견수치,기대역할표,실제역할표,기대자식수,실제자식수,분리판정,자식Claim번호,12개항목상태,재입장결과,중단사유,코드버전,자료버전,실행시각
A02111,6,A02111_6,4월만 해도 690만6000명이었던 60세 이상 취업자는 지난달 704만9000명으로 처음으로 700만명을 넘었다.,"[""690만6000명"", ""704만9000명"", ""700만명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}}","[{""expression"": ""690만6000명"", ""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""700만명"", ""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""704만9000명"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}]",1,1,일치,claim_0b480e92fd76dad9,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02184,11,A02184_11,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,"[""5.5%"", ""6.9%"", ""6.3%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""5.5%"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""6.9%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""6.3%"", ""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}]",3,3,일치,claim_cad2a46b2ed3b674,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02184,11,A02184_11,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,"[""5.5%"", ""6.9%"", ""6.3%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""5.5%"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""6.9%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""6.3%"", ""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}]",3,3,일치,claim_77fb7a40a6955f37,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02184,11,A02184_11,올해 1분기 고졸 실업률은 5.5%로 4년제 대학 이상 졸업자(6.9%)는 물론이고 전문대 졸업자(6.3%)보다도 낮았다.,"[""5.5%"", ""6.9%"", ""6.3%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""5.5%"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""6.9%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""6.3%"", ""group_id"": ""g3"", ""role"": ""MAIN_VALUE""}]",3,3,일치,claim_a7849ecd4eca7c3d,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,CONTEXT_REQUIRED,PARTIAL_CHILD_ADMISSION,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02184,9,A02184_9,작년에도 대졸 실업률(5.8%)이 고졸(5.1%)을 웃돌았고 올 들어서도 이런 상황이 이어지고 있다.,"[""5.8%"", ""5.1%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""5.8%"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""5.1%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,claim_ac024e3d51a1b24d,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02184,9,A02184_9,작년에도 대졸 실업률(5.8%)이 고졸(5.1%)을 웃돌았고 올 들어서도 이런 상황이 이어지고 있다.,"[""5.8%"", ""5.1%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""5.8%"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""5.1%"", ""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}]",2,2,일치,claim_73791871ae416930,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02558,5,A02558_5,"16일 통계청이 발표한 ‘2025년 6월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2909만1000명으로 전년 동월 대비 18만3000명 늘었다.","[""2909만1000명"", ""18만3000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""18만3000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""2909만1000명"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}]",1,1,일치,claim_dd7f9320985819d8,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A02633,4,A02633_4,17일 국가데이터처가 발표한 ‘9월 고용동향’에 따르면 지난달 15세 이상 취업자는 2915만4000명으로 전년 동월 대비 31만2000명 증가했다.,"[""2915만4000명"", ""31만2000명""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""2915만4000명"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""31만2000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}]",1,1,일치,claim_57a534979d0230db,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00202,17,A00202_17,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.","[""1개"", ""1개"", ""14만7000명"", ""1만9000명""]","{""n1"": {""group_id"": null, ""role"": ""CONTEXT_VALUE""}, ""n2"": {""group_id"": null, ""role"": ""CONTEXT_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n4"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""14만7000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""1개"", ""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""1개"", ""group_id"": ""g2"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""1만9000명"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}]",2,2,일치,claim_05e35f37e130be46,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00202,17,A00202_17,"◇청년층 강타한 고용 한파 건설업과 노인 일자리 사업을 중심으로 고용 한파가 닥치면서 임금 근로자 가운데 일용직(고용 계약 기간 1개월 미만)과 임시직(1개월 이상 1년 미만) 취업자 수가 각각 14만7000명, 1만9000명 감소했다.","[""1개"", ""1개"", ""14만7000명"", ""1만9000명""]","{""n1"": {""group_id"": null, ""role"": ""CONTEXT_VALUE""}, ""n2"": {""group_id"": null, ""role"": ""CONTEXT_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n4"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""14만7000명"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""1개"", ""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""1개"", ""group_id"": ""g2"", ""role"": ""CONTEXT_VALUE""}, {""expression"": ""1만9000명"", ""group_id"": ""g2"", ""role"": ""CHANGE_VALUE""}]",2,2,일치,claim_ab9a0dc2b2b44212,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
A00202,20,A00202_20,인구 대비 취업자 수 비율을 뜻하는 고용률은 지난달 61.4%로 1년 전(61.7%)에 비해 0.3%포인트 떨어졌다.,"[""61.4%"", ""61.7%"", ""0.3%포인트""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""0.3%포인트"", ""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""61.4%"", ""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""61.7%"", ""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}]",1,1,일치,claim_cc45f161cb09e889,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-role-grouping-v1,519de05c93d3ed9ad5efd88b8043ba2709ecd8ec566bd61834ca65f26e66fe80,2026-08-23T10:22:02.487457+00:00
