기사번호,문장번호,부모Claim번호,원문,발견수치,기대역할표,실제역할표,기대자식수,실제자식수,개수판정,역할묶음판정,분리판정,자식Claim번호,12개항목상태,재입장결과,중단사유,코드버전,자료버전,실행시각
A00006,13,A00006_13,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","[""480억달러"", ""5%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""480억달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""5%"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""CHANGE_VALUE""}]",1,1,일치,일치,일치,claim_0568126f6fdb1a71,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00023,6,A00023_6,이런 가운데 정부는 소비자 물가 상승률도 한국은행의 물가 안정 목표치(2%)보다 낮은 1.8%로 내다봤다.,"[""2%"", ""1.8%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""2%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""1.8%"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}]",1,1,일치,일치,일치,claim_b27f85499761db2b,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,STRUCTURAL_HOLD,MISSING_REQUIRED_SLOTS:time,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00029,16,A00029_16,KG모빌리티도 같은 기간 18.2% 늘어난 6만 2378대를 수출했다.,"[""18.2%"", ""6만2378대""]","{""n1"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""18.2%"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""CHANGE_VALUE""}, {""expression"": ""6만2378대"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}]",1,1,일치,일치,일치,claim_b2f3939127a2585c,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,CONTEXT_REQUIRED,CONTEXT_REQUIRED,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00029,17,A00029_17,"반면, 수출 1위인 현대차(-0.5%), 그리고 르노코리아(-18.4%) 판매가 줄면서 전체 수출은 보합세를 보였다.","[""1위"", ""-0.5%"", ""-18.4%""]","{""n1"": {""group_id"": null, ""role"": ""CONTEXT_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""1위"", ""group_id"": null, ""mention_id"": ""n1"", ""role"": ""CONTEXT_VALUE""}]",2,0,불일치,불일치,불일치,,,HUMAN_REVIEW,CLAIM_GROUPING_PROVIDER_FAILURE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00041,5,A00041_5,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다.","[""175개"", ""3.9%"", ""2.3%""]","{""n1"": {""group_id"": null, ""role"": ""CONTEXT_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n3"": {""group_id"": ""g1"", ""role"": ""REFERENCE_VALUE""}}","[{""expression"": ""3.9%"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""MAIN_VALUE""}, {""expression"": ""2.3%"", ""group_id"": ""g1"", ""mention_id"": ""n3"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""175개"", ""group_id"": null, ""mention_id"": ""n1"", ""role"": ""CONTEXT_VALUE""}]",1,1,일치,일치,일치,claim_b02dc8c186e9d718,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00049,8,A00049_8,국토교통부는 우리 기업의 해외 건설 누적 수주액이 1조달러(약 1470조원)를 돌파했다고 3일 밝혔다.,"[""1조달러"", ""1470조원""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""EQUIVALENT_VALUE""}}","[{""expression"": ""1조달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""1470조원"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""EQUIVALENT_VALUE""}]",1,1,일치,일치,일치,claim_fd637f342e9da4dc,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,KOSIS_PIPELINE_ELIGIBLE,KOSIS_PIPELINE_ELIGIBLE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00070,19,A00070_19,"1995년 세계무역기구(WTO) 출범... 반도체 수출, 中·홍콩 비율 9%p 이상 줄어 우리나라 수출의 20%가량을 맡고 있는 핵심 품목인 반도체의 ‘수출 지형도’가 눈에 띄게 변한 것으로 나타났다.","[""9%p"", ""20%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}",[],2,0,불일치,불일치,불일치,,,HUMAN_REVIEW,CLAIM_GROUPING_PROVIDER_FAILURE,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00070,5,A00070_5,대미 수출액은 1277억9100만달러로 1년 전보다 10.45% 늘었다.,"[""1277억9100만달러"", ""10.45%""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CHANGE_VALUE""}}","[{""expression"": ""1277억9100만달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""10.45%"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""CHANGE_VALUE""}]",1,1,일치,일치,일치,claim_1b85a4c93a631e8c,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,CONTEXT_REQUIRED,CONTEXT_REQUIRED,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00103,4,A00103_4,"농식품 수출액이 99억8000만달러로 100억달러 달성을 눈앞에 뒀고, 스마트팜, 반려동물 식품 등 전후방 산업 수출액이 30억5000만달러였다.","[""99억8000만달러"", ""100억달러"", ""30억5000만달러""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""99억8000만달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""100억달러"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""30억5000만달러"", ""group_id"": ""g2"", ""mention_id"": ""n3"", ""role"": ""MAIN_VALUE""}]",2,2,일치,불일치,불일치,claim_8a0ed6f256d80492,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,CONTEXT_REQUIRED,CONTEXT_REQUIRED,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
A00103,4,A00103_4,"농식품 수출액이 99억8000만달러로 100억달러 달성을 눈앞에 뒀고, 스마트팜, 반려동물 식품 등 전후방 산업 수출액이 30억5000만달러였다.","[""99억8000만달러"", ""100억달러"", ""30억5000만달러""]","{""n1"": {""group_id"": ""g1"", ""role"": ""MAIN_VALUE""}, ""n2"": {""group_id"": ""g1"", ""role"": ""CONTEXT_VALUE""}, ""n3"": {""group_id"": ""g2"", ""role"": ""MAIN_VALUE""}}","[{""expression"": ""99억8000만달러"", ""group_id"": ""g1"", ""mention_id"": ""n1"", ""role"": ""MAIN_VALUE""}, {""expression"": ""100억달러"", ""group_id"": ""g1"", ""mention_id"": ""n2"", ""role"": ""REFERENCE_VALUE""}, {""expression"": ""30억5000만달러"", ""group_id"": ""g2"", ""mention_id"": ""n3"", ""role"": ""MAIN_VALUE""}]",2,2,일치,불일치,불일치,claim_aeeb1dfe167836da,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=MISSING | frequency=NOT_APPLICABLE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,CONTEXT_REQUIRED,MISSING_REQUIRED_SLOTS:time,multi-claim-representative-v1,072d819725acb2a5d69b6c1985d7aeb53293b6ad9309820cb61ff3839b562709,2026-08-24T03:49:45.168089+00:00
