실행구분,부모Claim번호,자식Claim번호,원문,지표,기사수치,단위,시점,주기,계산방식,구조화상태,공식조회진입,최종상태,중단사유,의미표준,후보통계표수,가까운후보탈락사유,공식좌표,공식값,최종판정,공식값URL,공표URL,응답해시,공표해시,실행단계
개선전,A00489_11,A00489_11,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",수출액,63300000000.0,달러,2024-12,M,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,수출액,71,FREQUENCY_CONFLICT:52 | TIME_NOT_AVAILABLE:6 | UNIT_CONFLICT:27,"[{""canonical_key"": ""ORG=134|TBL=DT_134001_001|ITM=T002|OBJ=13999000|MEMBER=데이터|PRD_SE=월|PRD_DE=2024-12"", ""dimension_codes"": {""13999000"": ""DATA""}, ""dimension_members"": {""13999000"": ""데이터""}, ""itm_id"": ""T002"", ""member_code"": ""데이터"", ""obj_id"": ""13999000"", ""org_id"": ""134"", ""prd_de"": ""2024-12"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_134001_001"", ""unit"": ""천불""}]",[],UNDETERMINED,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=134&tblId=DT_134001_001&itmId=T002&prdSe=M&startPrdDe=202412&endPrdDe=202412&objL1=DATA,https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=134&tblId=DT_134001_001&metaItm=All,986b0ece53a15335ec2c3c221e45633eaa468f22fc2815df138f3c1f5c7ae764,e96e73d64a4f9debc86b215a256aa8ddb2bc12d40f329a51ee969ae985804f11,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE)
개선전,A00673_9,A00673_9,연간 누계 무역 수지는 10억5600만달러 적자다.,무역수지,1056000000.0,달러,2025,Y,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,무역수지,20,FREQUENCY_CONFLICT:2 | TIME_NOT_AVAILABLE:1 | UNIT_CONFLICT:2,"[{""canonical_key"": ""ORG=134|TBL=DT_134001_001|ITM=T005|OBJ=13999000|MEMBER=데이터|PRD_SE=년|PRD_DE=2025"", ""dimension_codes"": {""13999000"": ""DATA""}, ""dimension_members"": {""13999000"": ""데이터""}, ""itm_id"": ""T005"", ""member_code"": ""데이터"", ""obj_id"": ""13999000"", ""org_id"": ""134"", ""prd_de"": ""2025"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_134001_001"", ""unit"": ""천불""}]",[],UNDETERMINED,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=134&tblId=DT_134001_001&itmId=T005&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=DATA,https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=134&tblId=DT_134001_001&metaItm=All,22402c4a409f9e69bccd3031e6c54f968c214a938d3ba3d73ff725754f2a6749,e96e73d64a4f9debc86b215a256aa8ddb2bc12d40f329a51ee969ae985804f11,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE)
개선전,A01180_3,A01180_3,지난해 우리나라 수출 6836억달러(약 1007조원) 중 대미(對美) 수출은 1278억달러로 18.7%에 달했다.,수출액,683600000000.0,달러,2024,Y,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,수출액,89,DIMENSION_MEMBER_CONFLICT:53 | FREQUENCY_CONFLICT:9 | TIME_NOT_AVAILABLE:11 | UNIT_CONFLICT:35,"[{""canonical_key"": ""ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2024"", ""dimension_codes"": {""13101103829E"": ""13102103829E.US""}, ""dimension_members"": {""13101103829E"": ""미국""}, ""itm_id"": ""13103103829T1"", ""member_code"": ""미국"", ""obj_id"": ""13101103829E"", ""org_id"": ""360"", ""prd_de"": ""2024"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1R11006_FRM101"", ""unit"": ""천달러""}]",[],UNDETERMINED,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=360&tblId=DT_1R11006_FRM101&itmId=13103103829T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=13102103829E.US,https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=360&tblId=DT_1R11006_FRM101&metaItm=All,65b8703be2154d551a565e847b16c0a28e0d63e028fed84c5e43488f307a7a03,765d65ec9258a199ce9a431cc79cb87d4fd0433ab020497dca5febf9aa449271,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE)
개선전,A01316_7,A01316_7,지난 1~10일 대미 수출액은 34억7300만달러로 전년 동기 대비 0.6% 감소했다.,수출액,0.6,%,2025,Y,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,HOLD,AS_OF_UNAVAILABLE,수출액,89,DIMENSION_MEMBER_CONFLICT:53 | FREQUENCY_CONFLICT:9 | TIME_NOT_AVAILABLE:47,"[{""canonical_key"": ""ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2025"", ""dimension_codes"": {""13101103829E"": ""13102103829E.US""}, ""dimension_members"": {""13101103829E"": ""미국""}, ""itm_id"": ""13103103829T1"", ""member_code"": ""미국"", ""obj_id"": ""13101103829E"", ""org_id"": ""360"", ""prd_de"": ""2025"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1R11006_FRM101"", ""unit"": ""천달러""}, {""canonical_key"": ""ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2024"", ""dimension_codes"": {""13101103829E"": ""13102103829E.US""}, ""dimension_members"": {""13101103829E"": ""미국""}, ""itm_id"": ""13103103829T1"", ""member_code"": ""미국"", ""obj_id"": ""13101103829E"", ""org_id"": ""360"", ""prd_de"": ""2024"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1R11006_FRM101"", ""unit"": ""천달러""}]",[],UNDETERMINED,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=360&tblId=DT_1R11006_FRM101&itmId=13103103829T1&prdSe=Y&startPrdDe=2025&endPrdDe=2025&objL1=13102103829E.US,https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=360&tblId=DT_1R11006_FRM101&metaItm=All,895825ec1d82939657e3f1b3bbee4551bda53f0c0073a454e50232ca66cdd272,765d65ec9258a199ce9a431cc79cb87d4fd0433ab020497dca5febf9aa449271,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE)
개선후,A00489_11,A00489_11,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",수출액,63300000000.0,달러,2024-12,월,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,수출액,71,FREQUENCY_CONFLICT:18 | METADATA_INCOMPLETE:41 | TIME_NOT_AVAILABLE:6 | UNIT_CONFLICT:18,[],[63300000000.0],MATCH,https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_EVIDENCE_COORDINATE_CANDIDATE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
개선후,A00673_9,A00673_9,연간 누계 무역 수지는 10억5600만달러 적자다.,무역수지,1056000000.0,달러,2025-01-01/2025-02-20,CUMULATIVE_PERIOD,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,무역수지,20,FREQUENCY_CONFLICT:20 | TIME_NOT_AVAILABLE:1 | UNIT_CONFLICT:2,[],[1056000000.0],MATCH,https://www.customs.go.kr/kcs/na/ntt/selectNttInfo.do?nttSn=10131794&nttSnUrl=9b510df43d783fcfd23b3f95b583609f&bbsId=1362&mi=2891,https://www.customs.go.kr/kcs/na/ntt/selectNttInfo.do?nttSn=10131794&nttSnUrl=9b510df43d783fcfd23b3f95b583609f&bbsId=1362&mi=2891,5fabed0156085430a4af5b7988793d78f305d216e7205d14311a8bf82a48951d,5fabed0156085430a4af5b7988793d78f305d216e7205d14311a8bf82a48951d,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
개선후,A01180_3,claim_c03c899bf349597c,지난해 우리나라 수출 6836억달러(약 1007조원) 중 대미(對美) 수출은 1278억달러로 18.7%에 달했다.,수출액,683600000000.0,달러,2024,Y,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,OUTSIDE_TOLERANCE,수출액,71,FREQUENCY_CONFLICT:6 | METADATA_INCOMPLETE:7 | TIME_NOT_AVAILABLE:6 | UNIT_CONFLICT:25,"[{""canonical_key"": ""ORG=134|TBL=DT_134001_001|ITM=T002|OBJ=13999000|MEMBER=데이터|PRD_SE=년|PRD_DE=2024"", ""dimension_codes"": {""13999000"": ""DATA""}, ""dimension_members"": {""13999000"": ""데이터""}, ""itm_id"": ""T002"", ""member_code"": ""데이터"", ""obj_id"": ""13999000"", ""org_id"": ""134"", ""prd_de"": ""2024"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_134001_001"", ""unit"": ""천불""}]",[683690000000.0],MISMATCH,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=134&tblId=DT_134001_001&itmId=T002&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=DATA | https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=134&tblId=DT_134001_001&metaItm=All | https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,1b92ca2c94ace25a0cc8823c1ae2497463f6ab837bb530ca1257f3043de0d5eb | d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,e96e73d64a4f9debc86b215a256aa8ddb2bc12d40f329a51ee969ae985804f11 | d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
개선후,A01180_3,claim_95c250988eb4ef38,지난해 우리나라 수출 6836억달러(약 1007조원) 중 대미(對美) 수출은 1278억달러로 18.7%에 달했다.,수출액,127800000000.0,달러,2024,Y,DIRECT_VALUE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,수출액,89,DIMENSION_MEMBER_CONFLICT:53 | FREQUENCY_CONFLICT:9 | TIME_NOT_AVAILABLE:11 | UNIT_CONFLICT:35,"[{""canonical_key"": ""ORG=360|TBL=DT_1R11006_FRM101|ITM=13103103829T1|OBJ=13101103829E|MEMBER=미국|PRD_SE=년|PRD_DE=2024"", ""dimension_codes"": {""13101103829E"": ""13102103829E.US""}, ""dimension_members"": {""13101103829E"": ""미국""}, ""itm_id"": ""13103103829T1"", ""member_code"": ""미국"", ""obj_id"": ""13101103829E"", ""org_id"": ""360"", ""prd_de"": ""2024"", ""prd_se"": ""년"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1R11006_FRM101"", ""unit"": ""천달러""}]",[127790000000.0],MATCH,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=360&tblId=DT_1R11006_FRM101&itmId=13103103829T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=13102103829E.US | https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,https://kosis.kr/openapi/statisticsExplData.do?method=getList&format=json&jsonVD=Y&orgId=360&tblId=DT_1R11006_FRM101&metaItm=All | https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,65b8703be2154d551a565e847b16c0a28e0d63e028fed84c5e43488f307a7a03 | d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,765d65ec9258a199ce9a431cc79cb87d4fd0433ab020497dca5febf9aa449271 | d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=PASS | SEMANTIC_MATCH=PASS | EVIDENCE_CELL=PASS | OFFICIAL_VALUE_FETCH=HOLD(AS_OF_UNAVAILABLE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
개선후,A01180_3,claim_4aaab47fc083ec5e,지난해 우리나라 수출 6836억달러(약 1007조원) 중 대미(對美) 수출은 1278억달러로 18.7%에 달했다.,수출 비중,18.7,%,2024,Y,SHARE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,수출 비중,37,DIMENSION_MEMBER_CONFLICT:17 | METADATA_INCOMPLETE:9 | TIME_NOT_AVAILABLE:11,[],[18.691219704836985],MATCH,https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,https://www.bok.or.kr/fileSrc/portal/83074cef62e649de9e3c3d993a68349b/2/5d5c1a4a4b094a858aea49205410d614.pdf,d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,d10b69f0ed34fe68b471c22deb6dee26616da3b76e10b79c9903862436ebf63b,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_EVIDENCE_COORDINATE_CANDIDATE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
개선후,A01316_7,A01316_7,지난 1~10일 대미 수출액은 34억7300만달러로 전년 동기 대비 0.6% 감소했다.,수출액,0.6,%,2025-04-01/2025-04-10,PARTIAL_PERIOD,GROWTH_RATE,AUTO_OK,KOSIS_PIPELINE_ELIGIBLE,AUTO,WITHIN_TOLERANCE,수출액,89,DIMENSION_MEMBER_CONFLICT:53 | FREQUENCY_CONFLICT:89 | TIME_NOT_AVAILABLE:47,[],[0.6],MATCH,https://www.customs.go.kr/common/nttFileDownload.do?fileKey=0a58f14b5bd4fb97fc1ef556f28c7f34,https://www.customs.go.kr/common/nttFileDownload.do?fileKey=0a58f14b5bd4fb97fc1ef556f28c7f34,f0f3d6a51e87815f76897de7fa75e66b282b3bdc954e2ffea37a9a02258e6f55,f0f3d6a51e87815f76897de7fa75e66b282b3bdc954e2ffea37a9a02258e6f55,CLAIM_PARSE=PASS | SEMANTIC_MAPPING=PASS | CATALOG_SEARCH=PASS | HARD_GUARD=HOLD(NO_HARD_GUARD_CANDIDATE) | OFFICIAL_AUTHOR_SEARCH=PASS | OFFICIAL_AUTHOR_FETCH=PASS | CALCULATION=PASS | VERDICT=PASS
