Claim번호,원문해시,개선전실패단계,개선전사유,지표,단위,주기,지역,대상집단,대표원인,보조원인JSON,적용규칙군,판정근거코드JSON,후보수,HardGuard통과후보수
A00353_11,b682e43b7f259a3f7750fd280f59dd20218593d4eb37cd4e085000e2a2936069,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,원,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",37,1
A00489_18,038cb7fe0feb076aa2a6130e12158daaf5f5ca22a96bbf7e4f054d077fbf74b8,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,무역수지,달러,월,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,3
A00658_11,ea8d4f27cada3c8075295da0cd080663e97ea0877687abe7b51191bcc1b2cd8a,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,원,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",37,2
A00672_9,ea8d4f27cada3c8075295da0cd080663e97ea0877687abe7b51191bcc1b2cd8a,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,원,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",37,2
A00709_11,a853449c759a02f4bbbc086be891cfc19960d93da4e28c1d25b4f377a2054fe9,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,총인구,명,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",2,2
A00789_2,2c17599f755e792f383fc5137d8bbd835f903235b85cf52bcfc77e8845095aae,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,총인구,원,월,경기,,CLAIM_STRUCTURE_ERROR,"[""FREQUENCY_CONFLICT"", ""REGION_GRANULARITY_CONFLICT"", ""UNIT_CONFLICT""]",SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",2,0
A00840_14,285a6f25f7e045efff8da52d628c6d9524787d0fb4d33f61400f8e73f3193fa9,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,생활물가 상승률,%,월,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,5
A00872_2,ca058fc0c5cc56d293c392e14aa528a12f78cff8181cac696b1b145fe4e8c86e,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,총인구,명,월,인천,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",2,0
A00922_5,0b359ab4a9472d5852c1bf9ee2429e2aa9f44d93fa40db7391992d4b7cbedddb,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,총인구,명,년,,청년,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",31,0
A00970_20,3dabce54285e494c67e38222ab5317978324d2eddedb681a4d52c97394b0a3be,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,무역수지,달러,월,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,5
A01149_18,cf847c3741fd993482cbe1d85aec50a13097df5b8e9dd7c25f13587fa25b9f63,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,원,년,,,SEMANTIC_COORDINATE_AMBIGUITY,"[""UNIT_CONFLICT""]",NO_AUTOMATIC_UNIT_CONVERSION,"[""UNIT_CONFLICT"", ""CROSS_CURRENCY_NOT_AUTOMATIC""]",1,0
A01176_3,1a58fc37f1ad6c0f5d524623b846056338db21a8bcf5b1ca20ef72b089ee50f5,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,과수원 면적,ha,월,경북 | 안동시 | 의성군 | 청송군 | 영양군,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",66,0
A01185_23,387fe24192a212c3ce14d7885023a6c59b15107f245f0e55df9e92d86ff99672,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,광공업생산,개,년,경기,,CLAIM_STRUCTURE_ERROR,"[""REGION_GRANULARITY_CONFLICT""]",SOURCE_INDICATOR_VALUE_ROLE,"[""INDICATOR_UNIT_MEASURE_MISMATCH""]",45,0
