부모Claim번호,최초상태,최초사유,재시도여부,재시도상태,재시도사유,최종상태,최종사유,발견수치수,생성자식수,진단번호JSON,원문SHA256,실행서명
A00007_3,HUMAN_REVIEW,GROUPING_AMBIGUOUS,N,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,2,1,[],187106E6296730BE6599BB122009799C890EAD0A3033E33501FBEF702B8369C4,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00186_9,PASS,,N,,,PASS,,5,2,[],7CF93F3E1F90215194654577A3574D7548D572A5ABE01514E51D9873F1F6F128,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00189_11,PASS,,N,,,PASS,,2,2,[],ABC71BB8F5A74E78F77BED26F184B6AEB101FE363EEA19631DD6909167C52741,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00189_5,PASS,,N,,,PASS,,2,2,[],ECD1D1AEAC9277F4C209AB752AF0CDB481462EE24BB6ACB0C0274FEEC0614CFE,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00195_11,PASS,,N,,,PASS,,2,1,[],96078FB2DD5E6B5D36428507A2E6F7FB904FD4AADF642453D56F640341169465,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00202_26,HUMAN_REVIEW,GROUPING_AMBIGUOUS,N,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,2,1,[],DE9E85453A2A7A2E0F43171B70F01BA5352F742FF58EC7FF33A4CF282DD80A9F,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00202_5,PASS,,N,,,PASS,,2,1,[],5AE6CBC8A0692776BB6128CC91AEBF5D2369BBF4E480CA98AFB020DFA23B5A92,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00231_10,PASS,,N,,,PASS,,4,1,[],193078691E698AABB8A39580839ED80FDB8251E3FBB06314BC04EAFBD485670E,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00254_17,PASS,,N,,,PASS,,3,1,[],6A69981EF4A17223750F8617D9A577DCF04951C32CB2A827B5A372022B9C4FF2,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00298_3,HUMAN_REVIEW,GROUPING_AMBIGUOUS,N,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,2,1,[],76A4B37D0803D07701552C88170454591DE43DB4BA91C759C09A068DF737E909,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00308_6,PASS,,N,,,PASS,,2,1,[],44A03518057397A801838418CCC83A01DE38C385BB4F13AF86483DCAC6BFE2CA,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00353_15,PASS,,N,,,PASS,,2,1,[],4A4492670F395F28CBD26847A72F905E18F1743AF4F9A7CECBE53A8DF9846384,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00354_13,PASS,,N,,,PASS,,2,1,[],EC113255ACBEEB0ECED2BEAC1ACAB8AE10DA36BBDCDA39FB8AED12B7341C4CD6,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00368_19,PASS,,N,,,PASS,,2,1,[],C151B1AD11EB8E57328188E3792BE258F067125E6B9F9F9E78AE7D67B8BBFE08,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00399_21,HUMAN_REVIEW,GROUPING_AMBIGUOUS,N,,,HUMAN_REVIEW,GROUPING_AMBIGUOUS,2,1,[],B725109FD4598D89C490C40118976415CDFC1F949560187B7AD1AE262C8CCA5B,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00463_15,PASS,,N,,,PASS,,2,1,[],5B3AFB56744D7A59756CB4FF3EB1BB583D6DE6049E088A1640CFC8F484A98350,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00489_11,PASS,,N,,,PASS,,3,1,[],A76506BE5FE32AF654243716BEA2A5D7B1B37C5089A51EC97B07C1758F34BB27,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00579_17,PASS,,N,,,PASS,,2,1,[],D0036866D0D7EBF2129F4B21152C1505B98C35870CF933ACA19EF328EBB3CDCD,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00630_16,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,PASS,,PASS,,2,1,[],66D88340B7D680E509A14A43AEFBF793930DE45D90AE595B969F7D3C6F6D904E,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A00635_5,PASS,,N,,,PASS,,2,1,[],D98087289D6E39BD266D34A0A61F2E2CFAA032A8B5FCCE3E623ED1974A391D2C,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00646_15,PASS,,N,,,PASS,,2,1,[],3CB91B1A3D4A49639ECDBDA80D26421F992A627A2885B85269471173E81D6BF2,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00722_6,PASS,,N,,,PASS,,3,1,[],98AB4D01D57F775AEA54BEB19F064AD62FB9A440A062E9DF52806BE6203AEF62,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00735_6,PASS,,N,,,PASS,,2,1,[],3D457C35EB6A5C09EFA1DB191532B7072380E5CDA5202312651446C1031C3B52,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00749_14,PASS,,N,,,PASS,,3,1,[],6E0F3FAF158A2E2CB9910FB11880ACF99DFB0DA093A21817C5DE0344C6032BF4,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00749_24,PASS,,N,,,PASS,,6,3,[],464DD1355BD9E9178C05FF6DF36C80DD29C60ED2344E116B0764B9BCC9936FDE,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00751_27,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,PASS,,PASS,,2,2,[],7E1F32DEEE4760A4998AA5254C140A4056C96E8159913CCB8AD1194BE9E67B9F,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A00922_25,PASS,,N,,,PASS,,2,1,[],96A5D7CAEE2FF2C4FFB17110994C5B8385B6106B2929C9EB4EC3D7DC6E7ADE85,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A00953_14,HUMAN_REVIEW,KOSIS_CATALOG_UNAVAILABLE,Y,HUMAN_REVIEW,GROUPING_AMBIGUOUS,HUMAN_REVIEW,GROUPING_AMBIGUOUS,2,1,[],6F51365E5119FD560BD8A9AFC2A434091A0DDFC2D801AB426EE2019496E33599,95DFDD6CC88E71904A82CBBE77E658C906D10DB86ED9C2676CA09D6AFAE417FF
A01193_11,PASS,,N,,,PASS,,2,2,[],799A9479F7523BF5374FD005080CCFE6435625DE6E380CBCAF1639CD00310BB4,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01193_7,PASS,,N,,,PASS,,2,2,[],6360905A78EB1B549CACF8D04A43DFCBE0ACD1409AEC10A27A4DDC2B81EC7159,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01194_4,PASS,,N,,,PASS,,3,1,[],E0596BA98D043E34B98A080FBAB1D0871BC3802D0611C4E750FB58B12EC27BA3,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01285_4,PASS,,N,,,PASS,,2,1,[],E901166AC9371CBB315FD4AE832DB0E68C7317317B60672684B5FF7201E0B0BF,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01384_4,PASS,,N,,,PASS,,2,2,[],508AEBF68BB344A3F7E09F8147DDD835C90DCCC13ED9E99B60555AC4F966733D,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
A01385_7,PASS,,N,,,PASS,,3,1,[],81C8624009DB82E07B8D0A472E80E80B42E0B8792877F93672A0E9F49FD85D6D,DF22275EF7A6E4780DB7518AECFE6F124A96BBA2A72FD0198258BC314F36BCE9
