실행순서,실행묶음,하위검증유형,비교기간유형,기간형태,필요공식값,계산규칙,좌표난이도,원문수치구성,공식조회경로,현재실행준비,완료판정기준,Claim번호,원문,현재결과상태,실패원인코드,대표분류,기본검증방법,기사작성일,지표,기사값,단위,기준시점,주기,공식자료경로,실패단계,실패원인_쉬운설명,추가처리조건,분류근거,분류방식,분류확신도,기사번호,문장번호,분야,지역,대상집단,차원,비교조건,계산방식,조건,출처힌트,현재판정,세부문제유형,남은작업,공식근거URL,실행일시,개선후상태,해결여부,공식좌표,공식값,공표근거,응답해시,남은원인,검토메모,원문수치개수,원문수치표현,원문수치목록JSON,미포함숫자위치JSON,목록화상태
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,연간,연간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00007_3,보잉 737 맥스 여객기가 자카르타에서 추락한 사고로 189명이 사망한 사건이 발생한 2018년(전체 사망자 526명) 이후 가장 많다.,HOLD,NO_HARD_GUARD_CANDIDATE,직접값 확인,직접값 확인,2025-01-01,사망자 수,189,명,2018,Y,KOSIS 정규 통계표,필수 조건 검사,기간·단위·지역 등 필수 조건을 모두 만족하는 공식 통계표 후보가 없음,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=HARD_GUARD_ALIAS | 최신결과사유=NO_HARD_GUARD_CANDIDATE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00007,3,,,,,"{""claimed_operands"": ""[{'raw': '526명', 'value': 526.0, 'unit': '명'}]""}",DIRECT_VALUE,,,UNDETERMINED,HARD_GUARD_ALIAS,NO_HARD_GUARD_CANDIDATE,,,,,,,,,,,4,737 | 189명 | 2018년 | 526명,"[{""mention_id"":""n1"",""expression"":""737"",""start"":3,""end"":6,""context"":""보잉 737 맥스 여객기가 자카르타에서 추락한 사고로 "",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""189명"",""start"":30,""end"":34,""context"":"" 맥스 여객기가 자카르타에서 추락한 사고로 189명이 사망한 사건이 발생한 2018년(전체 사"",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""2018년"",""start"":48,""end"":53,""context"":""한 사고로 189명이 사망한 사건이 발생한 2018년(전체 사망자 526명) 이후 가장 많다."",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""526명"",""start"":61,""end"":65,""context"":""망한 사건이 발생한 2018년(전체 사망자 526명) 이후 가장 많다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,연간,연간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 4개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00186_9,"한편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다.",HOLD,OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED,직접값 확인,직접값 확인,2025-01-15,수출액,2180698,대,2024,Y,KOSIS 정규 통계표,공식문서조회,현재 원장에 기록된 실패 사유를 세부 확인해야 함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=OFFICIAL_CATALOG_SEARCH | 최신결과사유=OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED,12개 슬롯 + 통합 원장 진단 규칙,확정,A00186,9,,,,,"{""claimed_operands"": ""[{'raw': '533억6000만달러', 'value': 53360000000.0, 'unit': '달러'}, {'raw': '78조원', 'value': 78000000000000.0, 'unit': '원'}, {'raw': '200만대', 'value': 2000000.0, 'unit': '대'}, {'raw': '500억달러', 'value': 50000000000.0, 'unit': '달러'}]""}",DIRECT_VALUE,,,UNDETERMINED,OFFICIAL_CATALOG_SEARCH,OFFICIAL_AUTHOR_DOCUMENT_NOT_REGISTERED,,,,,,,,,,,6,218만698대 | 533억6000만달러 | 78조원 | 2년 | 200만대 | 500억달러,"[{""mention_id"":""n1"",""expression"":""218만698대"",""start"":25,""end"":33,""context"":""편, 지난해 현대차·기아 전체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조"",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""533억6000만달러"",""start"":40,""end"":51,""context"":""체 수출 대수는 218만698대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만"",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""78조원"",""start"":54,""end"":58,""context"":""98대, 수출액은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 "",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""2년"",""start"":62,""end"":64,""context"":""은 533억6000만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러"",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""200만대"",""start"":71,""end"":76,""context"":""0만달러(약 78조원)로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다."",""role_status"":""미분류""},{""mention_id"":""n6"",""expression"":""500억달러"",""start"":82,""end"":88,""context"":"")로, 2년 연속 수출 200만대, 수출액 500억달러를 이어갔다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,월간,월간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00189_11,"세부 품목에서는 커피(9.7%), 쇠고기(3.4%) 등의 물가가 전월과 비교해 많이 올랐다.",HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,직접값 확인,직접값 확인,2025-01-15,물가상승률,3.4,%,2025-01,M,KOSIS 정규 통계표,필수 조건 검사,공식 구조는 확인했지만 실제 값을 조회할 좌표를 확정하지 못함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=COORDINATE_GENERAL | 최신결과사유=NO_EVIDENCE_COORDINATE_CANDIDATE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00189,11,,,,,"{""claimed_operands"": ""[{'raw': '9.7%', 'value': 9.7, 'unit': '%'}]""}",DIRECT_VALUE,,,UNDETERMINED,COORDINATE_GENERAL,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,,,2,9.7% | 3.4%,"[{""mention_id"":""n1"",""expression"":""9.7%"",""start"":12,""end"":16,""context"":""세부 품목에서는 커피(9.7%), 쇠고기(3.4%) 등의 물가가 전월과 "",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""3.4%"",""start"":23,""end"":27,""context"":""세부 품목에서는 커피(9.7%), 쇠고기(3.4%) 등의 물가가 전월과 비교해 많이 올랐다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,월간,월간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00189_5,"수입 물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 달 연속 전월에 비해 오르고 있다.",HOLD,KOSIS_METADATA_UNAVAILABLE|NO_EVIDENCE_COORDINATE_CANDIDATE,직접값 확인,직접값 확인,2025-01-15,수입물가지수,2.1,%,2024-10,M,KOSIS 정규 통계표,HARD_GUARD|KOSIS_METADATA,KOSIS 표의 항목·기간·분류 구조 조회를 완료하지 못함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=OFFICIAL_METADATA_LOOKUP | 최신결과사유=KOSIS_METADATA_UNAVAILABLE|NO_EVIDENCE_COORDINATE_CANDIDATE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00189,5,,,,,"{""claimed_operands"": ""[{'raw': '0.9%', 'value': 0.9, 'unit': '%'}]""}",DIRECT_VALUE,,,UNDETERMINED,OFFICIAL_METADATA_LOOKUP,KOSIS_METADATA_UNAVAILABLE|NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,,,5,10월 | 2.1% | 11월 | 0.9% | 석 달,"[{""mention_id"":""n1"",""expression"":""10월"",""start"":12,""end"":15,""context"":""수입 물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 "",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""2.1%"",""start"":16,""end"":20,""context"":""수입 물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 달 연속 "",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""11월"",""start"":23,""end"":26,""context"":""수입 물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 달 연속 전월에 비해"",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""0.9%"",""start"":27,""end"":31,""context"":""물가지수는 작년 10월(2.1%), 11월(0.9%) 등으로 석 달 연속 전월에 비해 오르고 "",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""석 달"",""start"":37,""end"":40,""context"":""0월(2.1%), 11월(0.9%) 등으로 석 달 연속 전월에 비해 오르고 있다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,연간,연간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00195_11,"연간 경제성장률이 3~4%에 달하던 시절은 아련하고, 지금은 1% 성장률에 머물러 있다.",HOLD,KOSIS_METADATA_UNAVAILABLE,직접값 확인,직접값 확인,2025-01-15,경제성장률,4,%,2025,Y,KOSIS 정규 통계표,KOSIS 공식 구조 확인,KOSIS 표의 항목·기간·분류 구조 조회를 완료하지 못함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=OFFICIAL_METADATA_LOOKUP | 최신결과사유=KOSIS_METADATA_UNAVAILABLE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00195,11,,,,,"{""claimed_operands"": ""[{'raw': '1%', 'value': 1.0, 'unit': '%'}]""}",DIRECT_VALUE,,,UNDETERMINED,OFFICIAL_METADATA_LOOKUP,KOSIS_METADATA_UNAVAILABLE,,,,,,,,,,,2,3~4% | 1%,"[{""mention_id"":""n1"",""expression"":""3~4%"",""start"":10,""end"":14,""context"":""연간 경제성장률이 3~4%에 달하던 시절은 아련하고, 지금은 1% 성"",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""1%"",""start"":34,""end"":36,""context"":""3~4%에 달하던 시절은 아련하고, 지금은 1% 성장률에 머물러 있다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,월간,월간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00202_2,취업자 수는 코로나 사태의 직격탄을 맞은 2021년 2월(-47만3000명) 이후 3년 10개월 만에 감소세로 돌아섰다.,HOLD,KOSIS_METADATA_UNAVAILABLE,직접값 확인,직접값 확인,2025-01-16,취업자 수,473000,명,2021-02,M,KOSIS 정규 통계표,KOSIS 공식 구조 확인,KOSIS 표의 항목·기간·분류 구조 조회를 완료하지 못함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=OFFICIAL_METADATA_LOOKUP | 최신결과사유=KOSIS_METADATA_UNAVAILABLE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00202,2,,,,,"{""claimed_operands"": ""[{'raw': '10개', 'value': 10.0, 'unit': '개'}]""}",DIRECT_VALUE,"{""direction"": ""DECREASE""}",,UNDETERMINED,OFFICIAL_METADATA_LOOKUP,KOSIS_METADATA_UNAVAILABLE,,,,,,,,,,,5,2021년 | 2월 | -47만3000명 | 3년 | 10개월,"[{""mention_id"":""n1"",""expression"":""2021년"",""start"":23,""end"":28,""context"":""취업자 수는 코로나 사태의 직격탄을 맞은 2021년 2월(-47만3000명) 이후 3년 10개"",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""2월"",""start"":29,""end"":31,""context"":""는 코로나 사태의 직격탄을 맞은 2021년 2월(-47만3000명) 이후 3년 10개월 만"",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""-47만3000명"",""start"":32,""end"":41,""context"":""로나 사태의 직격탄을 맞은 2021년 2월(-47만3000명) 이후 3년 10개월 만에 감소세로 돌아섰"",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""3년"",""start"":46,""end"":48,""context"":"" 2021년 2월(-47만3000명) 이후 3년 10개월 만에 감소세로 돌아섰다."",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""10개월"",""start"":49,""end"":53,""context"":""21년 2월(-47만3000명) 이후 3년 10개월 만에 감소세로 돌아섰다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,연간,연간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00202_26,"증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 여파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고용 성적표를 기록했다.",AUTO,OUTSIDE_TOLERANCE,직접값 확인,직접값 확인,2025-01-16,취업자 수,327000,명,2023,Y,KOSIS 정규 통계표,최종 판정,기사 수치와 공식 계산값이 허용 오차를 벗어남,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=DONE | 최신결과사유=OUTSIDE_TOLERANCE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00202,26,,,,,"{""claimed_operands"": ""[{'raw': '22만명', 'value': 220000.0, 'unit': '명'}]""}",DIRECT_VALUE,"{""direction"": ""DECREASE""}",,MISMATCH,DONE,대시보드 재현 실패,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=Y&startPrdDe=2023&endPrdDe=2023&objL1=0,,,,,,,,,,5,2023년 | 32만7000명 | 절반 | 22만명 | 2020년,"[{""mention_id"":""n1"",""expression"":""2023년"",""start"":5,""end"":10,""context"":""증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코"",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""32만7000명"",""start"":11,""end"":19,""context"":""증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 "",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""절반"",""start"":22,""end"":24,""context"":""증가폭이 2023년(32만7000명)의 절반 아래로 줄어, 코로나 거리 두기 여파로 취"",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""22만명"",""start"":54,""end"":58,""context"":""어, 코로나 거리 두기 여파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고"",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""2020년"",""start"":68,""end"":73,""context"":""파로 취업자 수가 22만명 가까이 감소했던 2020년 이후 최악의 고용 성적표를 기록했다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,월간,월간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 1개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00202_5,"15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지난달 취업자 수는 2804만1000명으로 전년 동월 대비 5만2000명 감소했다.",HOLD,KOSIS_METADATA_UNAVAILABLE,직접값 확인,직접값 확인,2025-01-16,취업자 수,28041000,명,2024-12,M,KOSIS 정규 통계표,KOSIS 공식 구조 확인,KOSIS 표의 항목·기간·분류 구조 조회를 완료하지 못함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=OFFICIAL_METADATA_LOOKUP | 최신결과사유=KOSIS_METADATA_UNAVAILABLE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00202,5,,,,,"{""claimed_operands"": ""[{'raw': '5만2000명', 'value': 52000.0, 'unit': '명'}]""}",DIRECT_VALUE,"{""direction"": ""DECREASE""}",통계청,UNDETERMINED,OFFICIAL_METADATA_LOOKUP,KOSIS_METADATA_UNAVAILABLE,,,,,,,,,,,5,15일 | 2024년 | 12월 | 2804만1000명 | 5만2000명,"[{""mention_id"":""n1"",""expression"":""15일"",""start"":0,""end"":3,""context"":""15일 통계청이 발표한 ‘2024년 12월 및 연"",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""2024년"",""start"":14,""end"":19,""context"":""15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지"",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""12월"",""start"":20,""end"":23,""context"":""15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지난달 취"",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""2804만1000명"",""start"":53,""end"":63,""context"":""고용 동향’에 따르면, 지난달 취업자 수는 2804만1000명으로 전년 동월 대비 5만2000명 감소했다"",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""5만2000명"",""start"":75,""end"":82,""context"":""는 2804만1000명으로 전년 동월 대비 5만2000명 감소했다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,연간,연간,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 3개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00231_10,"지난 2022년 폴란드에 48대, 2023년 말레이시아에 18대를 수출하는 등 누적 수출액만 78억달러(약 11조3700억원)에 달한다.",HOLD,NO_HARD_GUARD_CANDIDATE,직접값 확인,직접값 확인,2025-01-18,수출액,48,대,2022,Y,KOSIS 정규 통계표,필수 조건 검사,기간·단위·지역 등 필수 조건을 모두 만족하는 공식 통계표 후보가 없음,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=HARD_GUARD_ALIAS | 최신결과사유=NO_HARD_GUARD_CANDIDATE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00231,10,,,,,"{""claimed_operands"": ""[{'raw': '18대', 'value': 18.0, 'unit': '대'}, {'raw': '78억달러', 'value': 7800000000.0, 'unit': '달러'}, {'raw': '11조3700억원', 'value': 11370000000000.0, 'unit': '원'}]""}",DIRECT_VALUE,,,UNDETERMINED,HARD_GUARD_ALIAS,NO_HARD_GUARD_CANDIDATE,,,,,,,,,,,6,2022년 | 48대 | 2023년 | 18대 | 78억달러 | 11조3700억원,"[{""mention_id"":""n1"",""expression"":""2022년"",""start"":3,""end"":8,""context"":""지난 2022년 폴란드에 48대, 2023년 말레이시아에 "",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""48대"",""start"":14,""end"":17,""context"":""지난 2022년 폴란드에 48대, 2023년 말레이시아에 18대를 수출하는"",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""2023년"",""start"":19,""end"":24,""context"":""지난 2022년 폴란드에 48대, 2023년 말레이시아에 18대를 수출하는 등 누적 수"",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""18대"",""start"":32,""end"":35,""context"":"" 폴란드에 48대, 2023년 말레이시아에 18대를 수출하는 등 누적 수출액만 78억달러(약"",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""78억달러"",""start"":52,""end"":57,""context"":""시아에 18대를 수출하는 등 누적 수출액만 78억달러(약 11조3700억원)에 달한다."",""role_status"":""미분류""},{""mention_id"":""n6"",""expression"":""11조3700억원"",""start"":60,""end"":69,""context"":"" 수출하는 등 누적 수출액만 78억달러(약 11조3700억원)에 달한다."",""role_status"":""미분류""}]",[],COMPLETE
1,D1 정확한 값·단순 좌표,정확한 값 직접 비교,분기,분기,공식값 1개,기사값과 공식값의 단위 정규화 후 직접 비교,단순 좌표,수치 2개,KOSIS 공식 API,묶음 실행 가능,공식 좌표 1개·공식값·공표정보를 확보하고 허용오차/부등호로 판정,A00254_17,이어 “건설투자도 12월 중 아파트 분양실적(2만1000호)이 당초 계획(2만5000호)를 17.2% 가량 하회하는 등 4분기 중 부진이 더 심화됐다”고 설명했다.,HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,직접값 확인,직접값 확인,2025-01-20,건설투자,21000,호,2025-Q4,Q,KOSIS 정규 통계표,필수 조건 검사,공식 구조는 확인했지만 실제 값을 조회할 좌표를 확정하지 못함,공식값 1개 직접 비교,calculation=DIRECT_VALUE | 세부문제유형=COORDINATE_GENERAL | 최신결과사유=NO_EVIDENCE_COORDINATE_CANDIDATE,12개 슬롯 + 통합 원장 진단 규칙,확정,A00254,17,,,,,"{""claimed_operands"": ""[{'raw': '2만5000호', 'value': 25000.0, 'unit': '호'}, {'raw': '17.2%', 'value': 17.2, 'unit': '%'}]""}",DIRECT_VALUE,,,UNDETERMINED,COORDINATE_GENERAL,NO_EVIDENCE_COORDINATE_CANDIDATE,,,,,,,,,,,5,12월 | 2만1000호 | 2만5000호 | 17.2% | 4분기,"[{""mention_id"":""n1"",""expression"":""12월"",""start"":10,""end"":13,""context"":""이어 “건설투자도 12월 중 아파트 분양실적(2만1000호)이 당초"",""role_status"":""미분류""},{""mention_id"":""n2"",""expression"":""2만1000호"",""start"":25,""end"":32,""context"":""어 “건설투자도 12월 중 아파트 분양실적(2만1000호)이 당초 계획(2만5000호)를 17.2%"",""role_status"":""미분류""},{""mention_id"":""n3"",""expression"":""2만5000호"",""start"":41,""end"":48,""context"":""파트 분양실적(2만1000호)이 당초 계획(2만5000호)를 17.2% 가량 하회하는 등 4분기 중"",""role_status"":""미분류""},{""mention_id"":""n4"",""expression"":""17.2%"",""start"":51,""end"":56,""context"":""1000호)이 당초 계획(2만5000호)를 17.2% 가량 하회하는 등 4분기 중 부진이 더 심"",""role_status"":""미분류""},{""mention_id"":""n5"",""expression"":""4분기"",""start"":67,""end"":70,""context"":""5000호)를 17.2% 가량 하회하는 등 4분기 중 부진이 더 심화됐다”고 설명했다."",""role_status"":""미분류""}]",[],COMPLETE
