행구분,공식경로규칙,적용조건,공식자료,기존성공건수,대상Claim번호,원문,개선전상태,개선전사유,개선전실패단계,개선후상태,개선후사유,개선후실패단계,판정,기사값,공식값,단위,기준시점,대상집단,차원JSON,공식좌표JSON,공식출처URL,응답해시,공표확인,공식근거완료,기존완료수,신규완료수,최종누적완료수
공식경로규칙,관세청 무역수지 누계 공식문서,무역수지·누계·적자/흑자 부호가 원문과 일치,관세청 공식 보도자료,1,,,,,,,,,,,,,,,,,,,,,10,5,15
공식경로규칙,월간 전국 전체 취업자,취업자 수·월·전국·15세 이상 전체,KOSIS DT_1DA7001S / T30,5,,,,,,,,,,,,,,,,,,,,,10,5,15
공식경로규칙,월간 전국 전체 실업률,실업률·월·전국·세부 차원 없음,KOSIS DT_1DA7001S / T80,1,,,,,,,,,,,,,,,,,,,,,10,5,15
공식경로규칙,월간 연령별 고용률,고용률·월·전국·연령 범위 있음,KOSIS DT_1DA7002S / T90,2,,,,,,,,,,,,,,,,,,,,,10,5,15
공식경로규칙,분기 연령·학력별 실업률,실업률·분기·전국·연령과 학력 모두 있음,KOSIS DT_1DA7105S / T80,1,,,,,,,,,,,,,,,,,,,,,10,5,15
동일패턴7건재실행,월간 전국 전체 취업자,,,,claim_0182f2a8521e4a75,"다만, 지난달 15세 이상 전체 취업자는 2817만9000명으로 전년 같은 달보다 13만6000명 늘었다.",HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HARD_GUARD,AUTO,WITHIN_TOLERANCE,VERDICT,MATCH,28179000.0,28178900.0,명,2025년 2월,15세 이상 전체,,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-02"", ""dimension_codes"": {""B"": ""0""}, ""dimension_members"": {""B"": ""계""}, ""itm_id"": ""T30"", ""member_code"": ""계"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2025-02"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7001S"", ""unit"": ""천명""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202502&endPrdDe=202502&objL1=0,bc77fbb8858ea3a188bca7f89add192247d3969f63fceedfb11c8000dd206090,VERIFIED,Y,10,5,15
동일패턴7건재실행,월간 전국 전체 취업자,,,,claim_a4678613610d47a5,"16일 통계청이 발표한 ‘2025년 6월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2909만1000명으로 전년 동월 대비 18만3000명 늘었다.",HOLD,NO_EVIDENCE_COORDINATE_CANDIDATE,HARD_GUARD,AUTO,WITHIN_TOLERANCE,VERDICT,MATCH,29091000.0,29090600.0,명,2025년 6월,15세 이상,,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-06"", ""dimension_codes"": {""B"": ""0""}, ""dimension_members"": {""B"": ""계""}, ""itm_id"": ""T30"", ""member_code"": ""계"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2025-06"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7001S"", ""unit"": ""천명""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202506&endPrdDe=202506&objL1=0,4af335248121e570991dced3562bc9a84f89371447e37e5d5151f4fa23042335,VERIFIED,Y,10,5,15
동일패턴7건재실행,월간 전국 전체 취업자,,,,claim_3e98d7f3646f6d9b,17일 국가데이터처가 발표한 ‘9월 고용동향’에 따르면 지난달 15세 이상 취업자는 2915만4000명으로 전년 동월 대비 31만2000명 증가했다.,HOLD,AMBIGUOUS_MARGIN,EVIDENCE_CELL,HOLD,AS_OF_UNAVAILABLE,OFFICIAL_VALUE_FETCH,UNDETERMINED,29154000.0,,명,2025년 9월,15세 이상,"{""age"": ""15세 이상""}","[{""canonical_key"": ""ORG=101|TBL=DT_1DA7001S|ITM=T30|OBJ=B|MEMBER=계|PRD_SE=월|PRD_DE=2025-09"", ""dimension_codes"": {""B"": ""0""}, ""dimension_members"": {""B"": ""계""}, ""itm_id"": ""T30"", ""member_code"": ""계"", ""obj_id"": ""B"", ""org_id"": ""101"", ""prd_de"": ""2025-09"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7001S"", ""unit"": ""천명""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7001S&itmId=T30&prdSe=M&startPrdDe=202509&endPrdDe=202509&objL1=0,1ceb4e43788b02b212d8c82ea12e658ffb2b3f358d5b500b2d527ebc18ce35af,VERIFIED,N,10,5,15
동일패턴7건재실행,월간 연령별 고용률,,,,claim_afe4998fc4e1a479,지난달 20대 고용률은 60.7%로 전체 고용률(63.7%)보다 3%포인트 낮았다.,HOLD,FETCH_FAILED,OFFICIAL_VALUE_FETCH,HOLD,AS_OF_UNAVAILABLE,OFFICIAL_VALUE_FETCH,UNDETERMINED,60.7,,%,2025년 9월,20대,,"[{""canonical_key"": ""ORG=101|TBL=DT_1DA7002S|ITM=T90|OBJ=G|MEMBER=20 - 29세|PRD_SE=월|PRD_DE=2025-09"", ""dimension_codes"": {""G"": ""20""}, ""dimension_members"": {""G"": ""20 - 29세""}, ""itm_id"": ""T90"", ""member_code"": ""20 - 29세"", ""obj_id"": ""G"", ""org_id"": ""101"", ""prd_de"": ""2025-09"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7002S"", ""unit"": ""%""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T90&prdSe=M&startPrdDe=202509&endPrdDe=202509&objL1=20,1218151f888621c5f9410436c9488abdc36b10b3e17b5a27321007dd9af735cb,VERIFIED,N,10,5,15
동일패턴7건재실행,월간 연령별 고용률,,,,claim_4e8f4bec36b92b41,반면 15~29세 청년층 고용률은 45.3%로 전년 동월 대비 0.9%포인트 감소했다.,AUTO,WITHIN_TOLERANCE,VERDICT,AUTO,WITHIN_TOLERANCE,VERDICT,MATCH,45.3,45.3,%,2025년 4월,청년층,"{""age"": ""15~29세""}","[{""canonical_key"": ""ORG=101|TBL=DT_1DA7002S|ITM=T90|OBJ=G|MEMBER=15 - 29세|PRD_SE=월|PRD_DE=2025-04"", ""dimension_codes"": {""G"": ""75""}, ""dimension_members"": {""G"": ""15 - 29세""}, ""itm_id"": ""T90"", ""member_code"": ""15 - 29세"", ""obj_id"": ""G"", ""org_id"": ""101"", ""prd_de"": ""2025-04"", ""prd_se"": ""월"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7002S"", ""unit"": ""%""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7002S&itmId=T90&prdSe=M&startPrdDe=202504&endPrdDe=202504&objL1=75,d9ed4590c2e704125084cf21abf05268900b4442139a0b08338700828f8462f2,VERIFIED,Y,10,5,15
동일패턴7건재실행,분기 연령·학력별 실업률,,,,claim_5bf21e8b888c9fcd,"지난 1분기 기준 30대 고졸 실업률은 4.2%인 반면, 대졸 이상은 2.4%에 그쳤다.",HUMAN_REVIEW,"중심 수치와 비교 수치가 함께 제시되지만, 두 학력 집단의 독립적인 실업률을 하나의 단일 목표 수치로 구조화해야 하므로 비교 수치의 표준 슬롯 처리가 불충분함",CLAIM_PARSE,AUTO,WITHIN_TOLERANCE,VERDICT,MATCH,4.2,4.2,%,2025년 1분기,30대,"{""학력"": ""고졸""}","[{""canonical_key"": ""ORG=101|TBL=DT_1DA7105S|ITM=T80|OBJ=G|MEMBER=30 - 39세|PRD_SE=분기|PRD_DE=2025-Q1|DIMS=G:30 - 39세,H:고졸"", ""dimension_codes"": {""G"": ""30"", ""H"": ""30""}, ""dimension_members"": {""G"": ""30 - 39세"", ""H"": ""고졸""}, ""itm_id"": ""T80"", ""member_code"": ""30 - 39세"", ""obj_id"": ""G"", ""org_id"": ""101"", ""prd_de"": ""2025-Q1"", ""prd_se"": ""분기"", ""status"": ""CONFIRMED"", ""tbl_id"": ""DT_1DA7105S"", ""unit"": ""%""}]",https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1DA7105S&itmId=T80&prdSe=Q&startPrdDe=202501&endPrdDe=202501&objL1=30&objL2=30,0f55fe483a31a7979ea3182621e204885afa7d5cdf764a94de2e648fcc1304ea,VERIFIED,Y,10,5,15
