Claim번호,검증집합,원문,기존실패사유,검색지표,측정종류,기사값,단위,기준시점,주기,지역,대상집단,차원조건JSON,검색어JSON,명세준비상태,명세차단사유,파생Claim수,통계개념연결상태,공식통계표검색상태,KOSIS구조정보상태,필수조건검사상태,후보의미비교상태,근거좌표확정상태,공식값조회상태,최종판정단계상태,통계표후보수,근거좌표수,공식값수,공식근거수,최종경로,최종판정,최종사유,최종실패단계,엄격공식판정완료,공식근거URL,공식응답해시
A00067_3,RULE_DISCOVERY,한국수입자동차협회(KAIDA)는 6일 지난해 수입 승용차 신규 등록 대수를 집계한 결과 테슬라 모델 Y가 지난해 모두 1만8717대가 팔리며 수입 승용차 가운데 최고 인기 모델로 꼽혔다고 밝혔다.,KOSIS_CATALOG_UNAVAILABLE,수입 승용차 신규 등록 대수,QUANTITY,18717.0,대,2024,년,전국,,"{""품목"": [""자동차""]}","[""수입 승용차 신규 등록 대수"", ""자동차"", ""전국""]",COORDINATE_READY,,1,미도달,미도달,미도달,미도달,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,,KOSIS_CATALOG_UNAVAILABLE,최종 판정,N,,
A00070_8,INTERMEDIATE_VALIDATION,7년 전인 2018년까지만 해도 대중 수출액과 대미 수출액 간 격차는 894억500만달러에 달했다.,FETCH_FAILED,수출액,CURRENCY,89405000000.0,달러,2018,년,,,"{""교역상대국"": [""미국""]}","[""수출액"", ""미국""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=360&tblId=DT_1R11006_FRM101&itmId=13103103829T1&prdSe=Y&startPrdDe=2018&endPrdDe=2018&objL1=13102103829E.US,4d960f0bb0fecbe7b06d47e2d989adfded5668c841c05957fca846d74cea5fde
A00268_14,RULE_DISCOVERY,무역 수지도 518억 달러 흑자로 2021년 이후 3년 만에 흑자로 돌아섰다.,LOW_SEMANTIC_SCORE,무역수지,CURRENCY,51800000000.0,달러,2021,년,,,{},"[""무역수지""]",COORDINATE_READY,,1,미도달,미도달,미도달,미도달,미도달,미도달,미도달,미도달,0,0,0,0,HUMAN_REVIEW,,CONTEXT_TARGET_UNRESOLVED,최종 판정,N,,
A00279_23,RULE_DISCOVERY,"행정안전부는 2024년 주민등록 인구통계를 분석한 결과, 출생자 수가 24만2334명으로 202... 김희래 기자 법무부, 검찰, 고위공직자범죄수사처를 취재합니다.",FETCH_FAILED,총인구,PERSON,242334.0,명,2024,년,,,{},"[""총인구""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=00&objL2=10,8b108c178cc52a5182d9c572527f7727086fc0df8d9128ad021c30906237b37a
A00279_9,RULE_DISCOVERY,12월까지 같은 추세가 이어질 경우 작년 한해 출생아 수는 2023년(23만28명) 수준을 넘어서 2015년 이후 9년 만에 출생아 수가 반등하게 된다.,AS_OF_UNAVAILABLE,출생아 수,PERSON,230028.0,명,2024년 12월,월,,,{},"[""출생아 수""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=M&startPrdDe=202412&endPrdDe=202412&objL1=00&objL2=10,9ae2de81230e5c48da9c6fbfd711fce2807f95dd4729337a234e4022149eb0fa
A00292_6,RULE_DISCOVERY,"통계청의 연간 통계는 아직 나오기 전이지만, 지난 3일 행정안전부의 주민등록 인구 통계에 따르면 작년 출생아 수는 24만2334명으로 9년 만에 처음으로 증가했다.",AS_OF_UNAVAILABLE,출생아 수,PERSON,242334.0,명,2024,년,,,{},"[""출생아 수""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,PASS,PASS,HOLD,미도달,0,1,0,1,HOLD,UNDETERMINED,AS_OF_UNAVAILABLE,공식값 조회,N,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&orgId=101&tblId=DT_1B8000G&itmId=T1&prdSe=Y&startPrdDe=2024&endPrdDe=2024&objL1=00&objL2=10,8b108c178cc52a5182d9c572527f7727086fc0df8d9128ad021c30906237b37a
A00347_47,RULE_DISCOVERY,"2009년 금융 위기를 겪은 후 금융 위기로 발생한 국채를 2011년부터 축소시키고 있고, 2016년부터는 연간 신규국채 발행이 최대 GDP의 0.35%를 초과하지 못하도록 했다.",INDICATOR_MEASURE_FAMILY_AMBIGUOUS,경제성장률,RATE,0.35,%,2009,년,,,{},"[""경제성장률""]",COORDINATE_READY,,1,PASS,PASS,PASS,PASS,HOLD,HOLD,미도달,미도달,0,1,0,0,HOLD,UNDETERMINED,AMBIGUOUS_MARGIN,후보 의미 비교,N,,
A00353_11,INTERMEDIATE_VALIDATION,지난해부터 8000만원 이상 법인차에 연두색 표지판을 부착하게 한 것도 고가 수입차 판매 감소를 이끈 요인으로 꼽힌다.,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,CURRENCY,80000000.0,원,2024,년,,,{},"[""수입액""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A00489_18,INTERMEDIATE_VALIDATION,이미 1월 무역수지는 18억9000만달러의 적자로 돌아섰다.,NO_EVIDENCE_COORDINATE_CANDIDATE,무역수지,CURRENCY,-1890000000.0,달러,2025년 1월,월,,,{},"[""무역수지""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
A00658_11,RULE_DISCOVERY,작년 수입액은 1조3600억원어치 정도다.,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,CURRENCY,1360000000000.0,원,2024,년,,,{},"[""수입액""]",COORDINATE_READY,,1,PASS,PASS,PASS,HOLD,미도달,미도달,미도달,미도달,0,0,0,0,HOLD,UNDETERMINED,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,N,,
