Claim번호,원문,지표,단위,주기,지역,대표원인,적용규칙군,개선전실패단계,개선전사유,재실행후실패단계,재실행후사유,단계변화,엄격공식판정완료,최종판정,근거좌표수,공식값수,공식근거수,공식근거URL,공식응답해시
A00353_11,지난해부터 8000만원 이상 법인차에 연두색 표지판을 부착하게 한 것도 고가 수입차 판매 감소를 이끈 요인으로 꼽힌다.,수입액,원,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,후보 의미 비교,AMBIGUOUS_MARGIN,다음단계진전,N,UNDETERMINED,1,0,0,,
A00489_18,이미 1월 무역수지는 18억9000만달러의 적자로 돌아섰다.,무역수지,달러,월,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A00658_11,작년 수입액은 1조3600억원어치 정도다.,수입액,원,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,후보 의미 비교,AMBIGUOUS_MARGIN,다음단계진전,N,UNDETERMINED,1,0,0,,
A00672_9,작년 수입액은 1조3600억원어치 정도다.,수입액,원,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,후보 의미 비교,AMBIGUOUS_MARGIN,다음단계진전,N,UNDETERMINED,1,0,0,,
A00709_11,◇15년 뒤 생산연령인구 3000만명 아래로 하지만 올해부터는 90년대 초반생들도 이미 30세를 넘어 대부분 노동시장에 진출한 상태다.,총인구,명,년,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A00789_2,HMG그룹은 지난 1월 경기 용인시 처인구 역북동 신대지구 도시개발사업 공동주택 용지를 1813억원에 매입했다.,총인구,원,월,경기,CLAIM_STRUCTURE_ERROR,SOURCE_INDICATOR_VALUE_ROLE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A00840_14,"생활물가지수는 지난해 10월(1.2%)을 저점으로 꾸준히 오름세를 보이고 있는데, 소비자들이 실제 체감하는 물가 수준이 높아지고 있음을 시사한다.",생활물가 상승률,%,월,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A00872_2,9일 인천시에 따르면 지난달 기준 인천시 주민등록인구는 302만7854명으로 집계됐다.,총인구,명,월,인천,PERIOD_FREQUENCY_GAP,OFFICIAL_PERIOD_NORMALIZATION,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A00922_5,청년층 쉬었음 인구가 50만명을 넘어선 것은 2003년 통계 작성 이래 최초다.,총인구,명,년,,DIMENSION_COORDINATE_GAP,OFFICIAL_DIMENSION_MEMBER,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
A00970_20,지난달 ICT 무역 수지는 58억1000만달러 흑자를 기록했다.,무역수지,달러,월,,SEMANTIC_COORDINATE_AMBIGUITY,EXACT_COORDINATE_REVIEW,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,동일단계,N,UNDETERMINED,0,0,0,,
